row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Số đầu năm > Giảm do thoái vốn tại công ty con,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giảm do thoái vốn tại công ty con,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,6.942.022.935.776,6.942.022.935.776,(14.022.046.166),24.606.347.075.738,24.388.604.709.456,7.145.743.255.892,7.145.743.255.892,6942022935776.0,6942022935776.0,-14022046166.0,24606347075738.0,24388604709456.0,7145743255892.0,7145743255892.0
Vay ngắn hàng (i),Vay ngắn hàng (i),Vay ngắn hàng (i),6.907.231.530.415,6.907.231.530.415,(14.022.046.166),24.395.384.838.935,24.249.135.181.764,7.039.459.141.420,7.039.459.141.420,6907231530415.0,6907231530415.0,-14022046166.0,24395384838935.0,24249135181764.0,7039459141420.0,7039459141420.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,34.791.405.361,34.791.405.361,-,210.962.236.803,139.469.527.692,106.284.114.472,106.284.114.472,34791405361.0,34791405361.0,,210962236803.0,139469527692.0,106284114472.0,106284114472.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,2.916.328.356.072,2.916.328.356.072,(254.057.375.639),1.203.486.292.113,2.772.436.707.719,1.093.320.564.827,1.093.320.564.827,2916328356072.0,2916328356072.0,-254057375639.0,1203486292113.0,2772436707719.0,1093320564827.0,1093320564827.0
Vay dài hạn và nợ thuê tài chính dài hạn đến hạn trả,Vay dài hạn và nợ thuê tài chính dài hạn đến hạn trả,Vay dài hạn và nợ thuê tài chính dài hạn đến hạn trả,2.320.953.356.058,2.320.953.356.058,(254.057.375.639),1.198.861.292.127,2.172.436.707.719,1.093.320.564.827,1.093.320.564.827,2320953356058.0,2320953356058.0,-254057375639.0,1198861292127.0,2172436707719.0,1093320564827.0,1093320564827.0
Trái phiếu đến hạn thanh toán,Trái phiếu đến hạn thanh toán,Trái phiếu đến hạn thanh toán,595.375.000.014,595.375.000.014,-,4.624.999.986,600.000.000.000,-,-,595375000014.0,595375000014.0,,4624999986.0,600000000000.0,,
,,,9.858.351.291.848,9.858.351.291.848,(268.079.421.805),25.809.833.367.851,27.161.041.417.175,8.239.063.820.719,8.239.063.820.719,9858351291848.0,9858351291848.0,-268079421805.0,25809833367851.0,27161041417175.0,8239063820719.0,8239063820719.0
