row_label_raw,row_label_full,Bên cho vay,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,2.541.281.096.440,2.205.011.594.909,2541281096440.0,2205011594909.0
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,2.509.247.687.050,3.418.192.016.718,2509247687050.0,3418192016718.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,665.000.000.000,1.796.125.470.514,665000000000.0,1796125470514.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,542.492.485.925,538.111.477.127,542492485925.0,538111477127.0
Ngân Hàng Union Bank of Taiwan,Ngân Hàng Union Bank of Taiwan,Ngân Hàng Union Bank of Taiwan,488.000.000.000,-,488000000000.0,
Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,416.704.823.000,529.904.336.259,416704823000.0,529904336259.0
Ngân hàng TNHH MTV HSBC Việt Nam,Ngân hàng TNHH MTV HSBC Việt Nam,Ngân hàng TNHH MTV HSBC Việt Nam,400.000.000.000,400.000.000.000,400000000000.0,400000000000.0
Ngân hàng Cathay United Bank,Ngân hàng Cathay United Bank,Ngân hàng Cathay United Bank,166.600.000.000,-,166600000000.0,
Ngân hàng TNHH MTV Standard Chartered Việt Nam,Ngân hàng TNHH MTV Standard Chartered Việt Nam,Ngân hàng TNHH MTV Standard Chartered Việt Nam,114.879.704.118,185.180.493.380,114879704118.0,185180493380.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,94.902.998.858,159.030.427.168,94902998858.0,159030427168.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,94.199.373.081,173.241.754.183,94199373081.0,173241754183.0
Công ty Cho thuê Tài chính TNHH MTV Ngân hàng TMCP Công thương Việt Nam,Công ty Cho thuê Tài chính TNHH MTV Ngân hàng TMCP Công thương Việt Nam,Công ty Cho thuê Tài chính TNHH MTV Ngân hàng TMCP Công thương Việt Nam,78.081.622.812,132.836.750.841,78081622812.0,132836750841.0
Ngân hàng TNHH MTV Hong Leong Việt Nam,Ngân hàng TNHH MTV Hong Leong Việt Nam,Ngân hàng TNHH MTV Hong Leong Việt Nam,45.793.459.030,46.236.684.695,45793459030.0,46236684695.0
Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,28.822.524.451,7.469.389.445,28822524451.0,7469389445.0
Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,16.896.912.722,5.388.043.496,16896912722.0,5388043496.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,2.492.492.700,6.382.412.398,2492492700.0,6382412398.0
Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,401.166.677,1.216.266.576,401166677.0,1216266576.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,242.520.000,881.145.000,242520000.0,881145000.0
Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,-,1.442.694.001.431,,1442694001431.0
Ngân hàng TNHH một thành viên Woori Việt Nam,Ngân hàng TNHH một thành viên Woori Việt Nam,Ngân hàng TNHH một thành viên Woori Việt Nam,-,200.000.000.000,,200000000000.0
Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,-,8.074.692.380,,8074692380.0
Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,-,1.452.072.219,,1452072219.0
Vay cá nhân và đối tượng khác,Vay cá nhân và đối tượng khác,Vay cá nhân và đối tượng khác,57.422.878.094,61.652.343.034,57422878094.0,61652343034.0
,,,8.263.461.744.958,11.319.081.371.773,8263461744958.0,11319081371773.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
- Vay dài hạn đến hạn trả,Trong đó > - Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,1.093.320.564.827,2.320.953.356.058,1093320564827.0,2320953356058.0
- Vay dài hạn,Trong đó > - Vay dài hạn,- Vay dài hạn,7.170.141.180.131,8.998.128.015.715,7170141180131.0,8998128015715.0
