row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,8.514.957.930.000,663.218.256.719,77.388.963.577,4.094.954.639,431.805.225.152,2.616.328.460.133,8.871.406.303.714,21.179.200.093.934,8514957930000.0,663218256719.0,77388963577.0,4094954639.0,431805225152.0,2616328460133.0,8871406303714.0,21179200093934.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,79.340.000.000,(214.400.000),-,-,-,-,-,79.125.600.000,79340000000.0,-214400000.0,,,,,,79125600000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.631.297.943.916,1.038.032.524.778,2.669.330.468.694,,,,,,1631297943916.0,1038032524778.0,2669330468694.0
Cổ tức công bố (i),Cổ tức công bố (i),Cổ tức công bố (i),-,-,-,-,-,-,(589.411.690.800),(589.411.690.800),,,,,,,-589411690800.0,-589411690800.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,-,223.794.634.138,(223.794.634.138),-,-,,,,,223794634138.0,-223794634138.0,,
Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,-,(12.647.739.308),(13.108.129.092),(25.755.868.400),,,,,,-12647739308.0,-13108129092.0,-25755868400.0
Tăng vốn ở công ty con,Tăng vốn ở công ty con,Tăng vốn ở công ty con,-,-,-,-,-,-,4.906.000.000,4.906.000.000,,,,,,,4906000000.0,4906000000.0
"Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)",-,-,-,-,-,(56.169.986.421),(57.671.570.364),(113.841.556.785),,,,,,-56169986421.0,-57671570364.0,-113841556785.0
Thù lao Hội đồng Quản trị (i),Thù lao Hội đồng Quản trị (i),Thù lao Hội đồng Quản trị (i),-,-,-,-,-,(1.124.856.563),(1.608.809.436),(2.733.665.999),,,,,,-1124856563.0,-1608809436.0,-2733665999.0
Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con,Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con,Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con,-,-,-,10.493.025.719,-,-,10.095.034.597,20.588.060.316,,,,10493025719.0,,,10095034597.0,20588060316.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(1.736.295.751),(692.821.103),(2.429.116.854),,,,,,-1736295751.0,-692821103.0,-2429116854.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,8.594.297.930.000,663.003.856.719,77.388.963.577,14.587.980.358,655.599.859.290,3.952.152.891.868,9.261.946.842.294,23.218.978.324.106,8594297930000.0,663003856719.0,77388963577.0,14587980358.0,655599859290.0,3952152891868.0,9261946842294.0,23218978324106.0
