row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,23.257.960.536.946,21.223.758.403.105,,400.0,,23257960536946.0,21223758403105.0
I.,I.,I.,Vốn chủ sở hữu,410,31,23.218.978.324.106,21.179.200.093.934,,410.0,31.0,23218978324106.0,21179200093934.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,8.594.297.930.000,8.514.957.930.000,,411.0,,8594297930000.0,8514957930000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,8.594.297.930.000,8.514.957.930.000,,,,8594297930000.0,8514957930000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,663.003.856.719,663.218.256.719,,412.0,,663003856719.0,663218256719.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,77.388.963.577,77.388.963.577,,414.0,,77388963577.0,77388963577.0
4.,4.,4.,Chênh lệch tỷ giá hối đoái,417,,14.587.980.358,4.094.954.639,,417.0,,14587980358.0,4094954639.0
5.,5.,5.,Quỹ đầu tư phát triển,418,,655.599.859.290,431.805.225.152,,418.0,,655599859290.0,431805225152.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,3.952.152.891.868,2.616.328.460.133,,421.0,,3952152891868.0,2616328460133.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,2.320.854.947.952,2.285.971.165.380,,,,2320854947952.0,2285971165380.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.631.297.943.916,330.357.294.753,,,,1631297943916.0,330357294753.0
7.,7.,7.,Lợi ích của cổ đông không kiểm soát,429,,9.261.946.842.294,8.871.406.303.714,,429.0,,9261946842294.0,8871406303714.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,38.982.212.840,44.558.309.171,,430.0,,38982212840.0,44558309171.0
1.,1.,1.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,38.982.212.840,44.558.309.171,,432.0,,38982212840.0,44558309171.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,53.782.318.218.822,55.076.875.644.451,,440.0,,53782318218822.0,55076875644451.0
