row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,12.615.423.248.703,16.025.255.188.467,720.644.421.608,74.638.792.181,10.458.862.778,29.446.420.513.737,12615423248703.0,16025255188467.0,720644421608.0,74638792181.0,10458862778.0,29446420513737.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.161.861.154.871,202.573.975.678,138.668.487.916,58.872.473.355,2.527.947.354,1.564.504.039.174,1161861154871.0,202573975678.0,138668487916.0,58872473355.0,2527947354.0,1564504039174.0
Tăng từ tài sản cố định,NGUYÊN GIÁ > Tăng từ tài sản cố định,Tăng từ tài sản cố định,-,62.221.755.786,9.904.788.180,-,-,72.126.543.966,,62221755786.0,9904788180.0,,,72126543966.0
thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,thuê tài chính,,,,,,
Chuyển từ bất động sản đầu tư,thuê tài chính > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,8.906.750.562,955.098.816,-,4.200.699.984,-,14.062.549.362,8906750562.0,955098816.0,,4200699984.0,,14062549362.0
Giảm do thoái Công ty con,thuê tài chính > Giảm do thoái Công ty con,Giảm do thoái Công ty con,(515.007.570.988),(5.677.891.188.478),(158.518.782.539),(579.763.217),-,(6.351.997.305.222),-515007570988.0,-5677891188478.0,-158518782539.0,-579763217.0,,-6351997305222.0
"Thanh lý, nhượng bán","thuê tài chính > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(77.773.294.626),(12.474.529.217),(2.046.771.666),-,(92.294.595.509),,-77773294626.0,-12474529217.0,-2046771666.0,,-92294595509.0
Phân loại lại,thuê tài chính > Phân loại lại,Phân loại lại,(8.969.256.997),(148.700.000),8.969.256.997,148.700.000,-,-,-8969256997.0,-148700000.0,8969256997.0,148700000.0,,
"Tăng, giảm khác","thuê tài chính > Tăng, giảm khác","Tăng, giảm khác",(5.302.260.000),1.949.911.838,(2.561.113.948),(358.555.139),(53.810.600),(6.325.827.849),-5302260000.0,1949911838.0,-2561113948.0,-358555139.0,-53810600.0,-6325827849.0
Số dư cuối năm,thuê tài chính > Số dư cuối năm,Số dư cuối năm,13.256.912.066.151,10.537.142.747.481,704.632.528.997,134.875.575.498,12.932.999.532,24.646.495.917.659,13256912066151.0,10537142747481.0,704632528997.0,134875575498.0,12932999532.0,24646495917659.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,,,
