row_label_raw,row_label_full,Họ Tên,Chức Danh,Ngày bổ nhiệm/miễn nhiệm,numeric__Chức Danh,numeric__Ngày bổ nhiệm/miễn nhiệm
Ông Lê Đức Thọ,Ông Lê Đức Thọ,Ông Lê Đức Thọ,Chữ tịch,,,
Ông Trần Minh Bình,Ông Trần Minh Bình,Ông Trần Minh Bình,Thành viên kiểmTổng Giám đốc,,,
Bà Trần Thu Huyền,Bà Trần Thu Huyền,Bà Trần Thu Huyền,Thành viên,,,
Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,Thành viên,,,
Bà Phạm Thị Ihanh Hoai,Bà Phạm Thị Ihanh Hoai,Bà Phạm Thị Ihanh Hoai,Thành viên,,,
Ông Trần Văn Tần,Ông Trần Văn Tần,Ông Trần Văn Tần,Thành viên,,,
Ông Masahiko Oki,Ông Masahiko Oki,Ông Masahiko Oki,Thành viên,Bổ nhiệm ngày 23 tháng 5 năm 2020,,
Ông Shiro Honjo,Ông Shiro Honjo,Ông Shiro Honjo,Thành viên,Bổ nhiệm ngày 23 tháng 5 năm 2020,,
Bà Nguyễn Thị Bắc,Bà Nguyễn Thị Bắc,Bà Nguyễn Thị Bắc,Thành viên độc lập,Bổ nhiệm ngày 23 tháng 5 năm 2020,,
Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Thành viên,Miễn nhiệm ngày 23 tháng 5 năm 2020,,
Ông Hideaki Takase,Ông Hideaki Takase,Ông Hideaki Takase,Thành viên,Miễn nhiệm ngày 23 tháng 5 năm 2020,,
