row_label_raw,row_label_full,col_0,Giá trị ghi số > Ghi nhận giá trị hợp lý trong qua kết quả hoạt động kinh doanh triệu đồng,Giá trị ghi số > Giữ đến ngày đáo han triệu đồng,Giá trị ghi số > Cho vay và phải thu triệu đồng,Giá trị ghi số > Sản sàng để bán triệu đồng,"Giá trị ghi số > Tài sản và nợ khác hach toán, theo giá trị phân bổ triệu đồng",Giá trị ghi số > Tổng cộng giá trị ghi số triệu đồng,numeric__Giá trị ghi số > Ghi nhận giá trị hợp lý trong qua kết quả hoạt động kinh doanh triệu đồng,numeric__Giá trị ghi số > Giữ đến ngày đáo han triệu đồng,numeric__Giá trị ghi số > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi số > Sản sàng để bán triệu đồng,"numeric__Giá trị ghi số > Tài sản và nợ khác hach toán, theo giá trị phân bổ triệu đồng",numeric__Giá trị ghi số > Tổng cộng giá trị ghi số triệu đồng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",9.746.787,-,-,-,-,9.746.787,9746787.0,,,,,9746787.0
Tiền gửi tai NHNN,Tài sản > Tiền gửi tai NHNN,Tiền gửi tai NHNN,57.616.304,-,-,-,-,57.616.304,57616304.0,,,,,57616304.0
Tiền gửi tai và cho vay các TCTD khác,Tài sản > Tiền gửi tai và cho vay các TCTD khác,Tiền gửi tai và cho vay các TCTD khác,-,-,102.712.904,-,-,102.712.904,,,102712904.0,,,102712904.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,4.252.697,-,-,-,-,4.252.697,4252697.0,,,,,4252697.0
"Các công cụ, tài chính phải sinh và các tài sản tài chính khác","Tài sản > Các công cụ, tài chính phải sinh và các tài sản tài chính khác","Các công cụ, tài chính phải sinh và các tài sản tài chính khác",137.122,-,-,-,-,137.122,137122.0,,,,,137122.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,-,-,1.004.975.541,-,-,1.004.975.541,,,1004975541.0,,,1004975541.0
Chứng khoán sẵn sàng để bán,Tài sản > Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,111.057.472,-,111.057.472,,,,111057472.0,,111057472.0
Chứng khoán giữ đến ngày đáo ran,Tài sản > Chứng khoán giữ đến ngày đáo ran,Chứng khoán giữ đến ngày đáo ran,-,2.586.778,-,-,-,2.586.778,,2586778.0,,,,2586778.0
Đầu tư dài hạn khác,Tài sản > Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,22.962,-,22.962,,,,22962.0,,22962.0
Tài sản tài chính khác,Tài sản > Tài sản tài chính khác,Tài sản tài chính khác,-,-,31.496.653,-,-,31.496.653,,,31496653.0,,,31496653.0
,,,71.752.910,2.586.778,1.139.185.098,111.080.434,-,1.324.605.220,71752910.0,2586778.0,1139185098.0,111080434.0,,1324605220.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,44.597.188,44.597.188,,,,,44597188.0,44597188.0
Tên gửi và vay NHNN và các TCTD khác,Nợ phải trả > Tên gửi và vay NHNN và các TCTD khác,Tên gửi và vay NHNN và các TCTD khác,-,-,-,-,124.872.145,124.872.145,,,,,124872145.0,124872145.0
Tên gửi của khách hàng,Nợ phải trả > Tên gửi của khách hàng,Tên gửi của khách hàng,-,-,-,-,988.070.156,988.070.156,,,,,988070156.0,988070156.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,2.733.251,2.733.251,,,,,2733251.0,2733251.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,59.875.570,59.875.570,,,,,59875570.0,59875570.0
Các khoản nợ tài chính khác,Nợ phải trả > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,24.217.160,24.217.160,,,,,24217160.0,24217160.0
,,,-,-,-,-,1.244.365.470,1.244.365.470,,,,,1244365470.0,1244365470.0
