row_label_raw,row_label_full,col_0,2020triệu đồng,2019triệu đồng,numeric__2020triệu đồng,numeric__2019triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",15.261,17.524,15261.0,17524.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,8.783.325,9.024.732,8783325.0,9024732.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,7.011.635,7.419.278,7011635.0,7419278.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,538.499,530.967,538499.0,530967.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,4.703,2.994,4703.0,2994.0
Chi khác,Chi khác,Chi khác,1.228.488,1.071.493,1228488.0,1071493.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,2.543.537,2.210.981,2543537.0,2210981.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,940.919,952.240,940919.0,952240.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,1.602.618,1.258.741,1602618.0,1258741.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,3.026.016,2.819.158,3026016.0,2819158.0
Chi công tác phí,Chi công tác phí,Chi công tác phí,116.786,148.039,116786.0,148039.0
Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,13.923,30.755,13923.0,30755.0
Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,2.895.307,2.640.364,2895307.0,2640364.0
Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,719.492,660.887,719492.0,660887.0
Chỉ phí dự phòng (không tính chỉ phí dự phòng rủi ro tín dụng nội và ngoại bảng; chỉ phí dự phòng rủi ro chứng khoán),Chỉ phí dự phòng (không tính chỉ phí dự phòng rủi ro tín dụng nội và ngoại bảng; chỉ phí dự phòng rủi ro chứng khoán),Chỉ phí dự phòng (không tính chỉ phí dự phòng rủi ro tín dụng nội và ngoại bảng; chỉ phí dự phòng rủi ro chứng khoán),40.438,-,40438.0,
,,,15.128.069,14.733.282,15128069.0,14733282.0
