row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2019(trình bày lại),Số dư tại ngày 1 tháng 1 năm 2019(trình bày lại),Số dư tại ngày 1 tháng 1 năm 2019(trình bày lại),37.234.046,8.969.827,2.617.608,5.211.287,10.988.525,65.021.293,37234046.0,8969827.0,2617608.0,5211287.0,10988525.0,65021293.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,9.283.297,9.283.297,,,,,9283297.0,9283297.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,464.164,928.330,(1.392.494),-,,,464164.0,928330.0,-1392494.0,
Sử dụng quỹ ĐPTC để xử lý rủi ro trong năm,Sử dụng quỹ ĐPTC để xử lý rủi ro trong năm,Sử dụng quỹ ĐPTC để xử lý rủi ro trong năm,-,-,-,(2.220),-,(2.220),,,,-2220.0,,-2220.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,4.189,4.189,,,,,4189.0,4189.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,37.234.046,8.969.827,3.081.772,6.137.397,18.883.517,74.306.559,37234046.0,8969827.0,3081772.0,6137397.0,18883517.0,74306559.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,13.255.847,13.255.847,,,,,13255847.0,13255847.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,662.792,1.325.584,(1.988.376),-,,,662792.0,1325584.0,-1988376.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(3.536.183),(3.536.183),,,,,-3536183.0,-3536183.0
Trả cổ tức năm 2019,Trả cổ tức năm 2019,Trả cổ tức năm 2019,-,-,-,-,(1.861.702),(1.861.702),,,,,-1861702.0,-1861702.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,(6.965),(13.929),(30.681),(51.575),,,-6965.0,-13929.0,-30681.0,-51575.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,37.234.046,8.969.827,3.737.599,7.449.052,24.722.422,82.112.946,37234046.0,8969827.0,3737599.0,7449052.0,24722422.0,82112946.0
