row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2020 triệu đồng,Ngày 31 tháng 12 năm 2019 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2020 triệu đồng,numeric__Ngày 31 tháng 12 năm 2019 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,9.746.787,8.146.848,5.0,9746787.0,8146848.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,57.616.304,24.855.833,6.0,57616304.0,24855833.0
Liền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Liền gửi và cho vay các tổ chức tín dụng khác,Liền gửi và cho vay các tổ chức tín dụng khác,7,102.712.904,129.708.014,7.0,102712904.0,129708014.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,93.651.129,122.644.254,,93651129.0,122644254.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,9.061.775,7.063.760,,9061775.0,7063760.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,4.252.697,2.474.983,8.0,4252697.0,2474983.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,4.252.697,2.474.983,,4252697.0,2474983.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,137.122,469.712,9.0,137122.0,469712.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,992.629.841,912.464.202,,992629841.0,912464202.0
