row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020triệu đồng,%,Ngày 31 tháng 12năm 2019triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2020triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2019triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,54.554.728,"5,43",42.213.282,"4,56",54554728.0,5.43,42213282.0,4.56
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,29.243.619,"2,91",33.266.122,"3,60",29243619.0,2.91,33266122.0,3.6
Công ty TNIII hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNIII hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNIII hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,7.633.633,"0,76",6.628.148,"0,72",7633633.0,0.76,6628148.0,0.72
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,233.253.853,"23,21",208.030.132,"22,48",233253853.0,23.21,208030132.0,22.48
Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,29.588.339,"2,94",35.144.426,"3,80",29588339.0,2.94,35144426.0,3.8
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,278.533.887,"27,72",262.912.920,"28,42",278533887.0,27.72,262912920.0,28.42
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,363.403,"0,04",48.495,"0,01",363403.0,0.04,48495.0,0.01
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,12 587 912,"1,25",12.044.883,"1,30",,1.25,12044883.0,1.3
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,53.208.828,"5,29",48.318.179,"5,22",53208828.0,5.29,48318179.0,5.22
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.460.651,"0,15",1.365.946,"0,15",1460651.0,0.15,1365946.0,0.15
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",302.052.315,"30,06",272.804.974,"29,48",302052315.0,30.06,272804974.0,29.48
"Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội",1.513.982,"0,15",1.553.548,"0,17",1513982.0,0.15,1553548.0,0.17
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,980.391,"0,09",931.775,"0,10",980391.0,0.09,931775.0,0.1
,,,1.004.975.541,100,925.252.830,100,1004975541.0,100.0,925252830.0,100.0
