row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020triệu đồng,%,Ngày 31 tháng 12năm 2019triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2020triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2019triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,152.046.050,"15,39",134.000.840,"15,06",152046050.0,15.39,134000840.0,15.06
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,17.775.175,"1,80",18.923.758,"2,13",17775175.0,1.8,18923758.0,2.13
Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,1.273.315,"0,13",1.329.581,"0,15",1273315.0,0.13,1329581.0,0.15
Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,33.482.054,"3,39",34.204.281,"3,84",33482054.0,3.39,34204281.0,3.84
Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty TNHH khácCông ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,39.694.271,"4,02",38.602.747,"4,34",39694271.0,4.02,38602747.0,4.34
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,65.739.244,"6,65",55.475.848,"6,23",65739244.0,6.65,55475848.0,6.23
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,8.675.462,"0,88",3.657.234,"0,41",8675462.0,0.88,3657234.0,0.41
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,2.026.446,"0,21",1.996.287,"0,22",2026446.0,0.21,1996287.0,0.22
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,99.329.976,"10,05",72.922.401,"8,20",99329976.0,10.05,72922401.0,8.2
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.616.494,"0,16",451.800,"0,05",1616494.0,0.16,451800.0,0.05
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",495.539.492,"50,15",470.801.144,"52,92",495539492.0,50.15,470801144.0,52.92
"Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội",39.939.934,"4,04",35.151.359,"3,95",39939934.0,4.04,35151359.0,3.95
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,30.932.243,"3,13",22.275.434,"2,50",30932243.0,3.13,22275434.0,2.5
,,,988.070.156,100,889.792.714,100,988070156.0,100.0,889792714.0,100.0
