row_label_raw,row_label_full,col_0,Không chịu lãi triệu đồng,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Trên 3 tháng triệu đồng,numeric__Đến 3 tháng triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",9.746.787,-,-,-,-,-,-,-,-,9.746.787,9746787.0,,,,,,,,,9746787.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,57.616.304,-,-,-,-,-,57.616.304,,,,57616304.0,,,,,,57616304.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,-,82.835.904,17.464.900,2.062.100,350.000,-,-,102.712.904,,,,82835904.0,17464900.0,2062100.0,350000.0,,,102712904.0
Chứng knoán k nh doanh (*),Tài sản > Chứng knoán k nh doanh (*),Chứng knoán k nh doanh (*),-,-,-,4.252.697,-,-,-,-,-,4.252.697,,,,4252697.0,,,,,,4252697.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,137.122,-,-,-,-,-,137.122,,,,137122.0,,,,,,137122.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,9.317.284,2.770.000,374.945.593,267.052.369,250.013.697,70.957.567,27.405.073,2.513.958,1.004.975.541,,9317284.0,2770000.0,374945593.0,267052369.0,250013697.0,70957567.0,27405073.0,2513958.0,1004975541.0
Chứng knoán đầu tư (*),Tài sản > Chứng knoán đầu tư (*),Chứng knoán đầu tư (*),376.615,-,-,5.320.030,6.272.000,7.854.000,23.006.000,40.708.210,30.107.395,113.644.250,376615.0,,,5320030.0,6272000.0,7854000.0,23006000.0,40708210.0,30107395.0,113644250.0
"Góp vốn, đầu tư dài nan (*)","Tài sản > Góp vốn, đầu tư dài nan (*)","Góp vốn, đầu tư dài nan (*)",5.551.782,-,-,-,-,-,-,-,-,5.551.782,5551782.0,,,,,,,,,5551782.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,10.515.830,-,-,-,-,-,-,-,-,10.515.830,10515830.0,,,,,,,,,10515830.0
