row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ khắctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ khắctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.521.477,5.255.908,1.465.780,334.806,14.577.971,7521477.0,5255908.0,1465780.0,334806.0,14577971.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.012,173.236,86.776,15.185,276.209,1012.0,173236.0,86776.0,15185.0,276209.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,270.668,37.607,13.024,4.244,325.543,270668.0,37607.0,13024.0,4244.0,325543.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,924,-,(924),-,,924.0,,-924.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.483),(35.312),(34.204),(2.166),(79.165),-7483.0,-35312.0,-34204.0,-2166.0,-79165.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(25.000),8.937,7.099,(2.482),(11.446),-25000.0,8937.0,7099.0,-2482.0,-11446.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.760.674,5.441.30C,1.538.475,348.663,15.089.112,7760674.0,,1538475.0,348663.0,15089112.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,2.248.748,4.721.54C,1.025.891,267.003,8.263.182,2248748.0,,1025891.0,267003.0,8263182.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,274.533,259.03C,129.402,36.530,699.495,274533.0,,129402.0,36530.0,699495.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,924,-,(924),-,,924.0,,-924.0,
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.991),(32.943),(34.204),(1.667),(75.805),-6991.0,-32943.0,-34204.0,-1667.0,-75805.0
Tăng/(giảm) khác,Giá trị hao mòn luỹ kế > Tăng/(giảm) khác,Tăng/(giảm) khác,(12.370),8.929,4.972,(688),843,-12370.0,8929.0,4972.0,-688.0,843.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.503.920,4.957.48C,1.126.061,300.254,8.887.715,2503920.0,,1126061.0,300254.0,8887715.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.272.729,534.368,439.889,67.803,6.314.789,5272729.0,534368.0,439889.0,67803.0,6314789.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.256.754,483.62C,412.414,48.409,6.201.397,5256754.0,,412414.0,48409.0,6201397.0
