row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Công Ty TNHH MTV Đầu Tư Văn Phú – Giàng Võ,Công Ty TNHH MTV Đầu Tư Văn Phú – Giàng Võ,Công Ty TNHH MTV Đầu Tư Văn Phú – Giàng Võ,Công ty con,Phải thu lãi cho vay ngắn hạn,9.041.096,2.558.136.988,,,9041096.0,2558136988.0
Công Ty TNHH MTV Đầu Tư Văn Phú – Giàng Võ,Công Ty TNHH MTV Đầu Tư Văn Phú – Giàng Võ,Công Ty TNHH MTV Đầu Tư Văn Phú – Giàng Võ,Công ty con,Phải thu lợi nhuận được chia,-,550.000.000,,,,550000000.0
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Phải thu lãi cho vay ngắn hạn,1.627.360.275,-,,,1627360275.0,
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Phải thu lãi cho vay ngắn hạn,152.753.425,-,,,152753425.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.789.154.796,3.108.136.988,,,1789154796.0,3108136988.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty Cổ phần Đầu tư Phong Phú,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty liên kết,Góp vốn hợp tác đầu tư (i),352.617.690.000,352.617.690.000,,,352617690000.0,352617690000.0
Công ty Cổ phần Văn Phú Bắc Ái,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Văn Phú Bắc Ái,Công ty Cổ phần Văn Phú Bắc Ái,Công ty con,Vốn góp theo huy động để thực hiện đầu tư (ii),103.968.040.993,159.962.406.172,,,103968040993.0,159962406172.0
Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty con,Góp vốn hợp tác đầu tư (iii),100.000.000.000,100.000.000.000,,,100000000000.0,100000000000.0
TỔNG CỘNG,Phải thu dài hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,556.585.730.993,612.580.096.172,,,556585730993.0,612580096172.0
Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),,,,
Công ty Cổ phần Văn Phú B&C,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty con,Nhận cung cấp dịch vụ,4.238.595.783,1.965.500.000,,,4238595783.0,1965500000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.238.595.783,1.965.500.000,,,4238595783.0,1965500000.0
