row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Cung cấp dịch vụ,55.401.995.645,2.581.203.733,,,55401995645.0,2581203733.0
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Cung cấp dịch vụ,1.590.034.857,20.195.009.299,,,1590034857.0,20195009299.0
Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty con,Cung cấp dịch vụ,924.726.001,187.580.000,,,924726001.0,187580000.0
Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty con,Cung cấp dịch vụ,698.649.682,4.510.231.225,,,698649682.0,4510231225.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Cung cấp dịch vụ,419.367.000,197.739.000,,,419367000.0,197739000.0
Công ty cổ phần Đầu tư và Quản lý Khách sạn Văn Phú,Công ty cổ phần Đầu tư và Quản lý Khách sạn Văn Phú,Công ty cổ phần Đầu tư và Quản lý Khách sạn Văn Phú,Công ty con,Cung cấp dịch vụ,109.669.000,-,,,109669000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,59.144.442.185,27.671.763.257,,,59144442185.0,27671763257.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),,,,
Công ty Cổ phần Văn Phú B&C,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty con,Tạm ứng hợp đồng tư vấn,8.200.000,8.200.000,,,8200000.0,8200000.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > TỔNG CỘNG,TỔNG CỘNG,,,8.200.000,8.200.000,,,8200000.0,8200000.0
Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),,,,
Công ty Cổ phần Đầu tư Văn Phú Số 1,Phải thu về cho vay (Thuyết minh số 7) > Công ty Cổ phần Đầu tư Văn Phú Số 1,Công ty Cổ phần Đầu tư Văn Phú Số 1,Công ty con,Phải thu về cho vay (*),52.600.000.000,-,,,52600000000.0,
Công ty Cổ phần Đầu tư Grand Home,Phải thu về cho vay (Thuyết minh số 7) > Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Phải thu về cho vay (*),9.000.000.000,-,,,9000000000.0,
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Phải thu về cho vay (Thuyết minh số 7) > Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty con,Phải thu về cho vay,-,47.000.000.000,,,,47000000000.0
TỔNG CỘNG,Phải thu về cho vay (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,,,61.600.000.000,47.000.000.000,,,61600000000.0,47000000000.0
