row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,580.180.516.407,5.469.853.015,17.876.429.091,3.501.159.929,9.098.686.530,616.126.644.972,580180516407.0,5469853015.0,17876429091.0,3501159929.0,9098686530.0,616126644972.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,(93.296.879.528),38.871.417.779,-,-,54.425.461.749,-,-93296879528.0,38871417779.0,,,54425461749.0,
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,475.280.000,5.263.030.000,194.431.314,479.617.600,6.412.358.914,,475280000.0,5263030000.0,194431314.0,479617600.0,6412358914.0
- Điều chỉnh giá trị quyếttoán XDCB,Nguyên giá: > - Điều chỉnh giá trị quyếttoán XDCB,- Điều chỉnh giá trị quyếttoán XDCB,7.517.486.159,141.258.035,-,-,6.428.778.839,14.087.523.033,7517486159.0,141258035.0,,,6428778839.0,14087523033.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,494.401.123.038,44.957.808.829,23.139.459.091,3.695.591.243,70.432.544.718,636.626.526.919,494401123038.0,44957808829.0,23139459091.0,3695591243.0,70432544718.0,636626526919.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,-,3.614.240.000,3.038.316.294,-,6.652.556.294,,,3614240000.0,3038316294.0,,6652556294.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,26.661.178.438,1.683.861.754,8.274.087.672,2.887.888.609,2.923.191.837,42.430.208.310,26661178438.0,1683861754.0,8274087672.0,2887888609.0,2923191837.0,42430208310.0
- Phân loại lại,Giá trị khấu hao lũy kế: > - Phân loại lại,- Phân loại lại,(4.287.294.527),1.786.267.853,-,-,2.501.026.674,-,-4287294527.0,1786267853.0,,,2501026674.0,
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.050.581.456,3.254.222.989,2.818.950.674,460.614.767,6.418.961.051,24.003.330.937,11050581456.0,3254222989.0,2818950674.0,460614767.0,6418961051.0,24003330937.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,33.424.465.367,6.724.352.596,11.093.038.346,3.348.503.376,11.843.179.562,66.433.539.247,33424465367.0,6724352596.0,11093038346.0,3348503376.0,11843179562.0,66433539247.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,553.519.337.969,3.785.991.261,9.602.341.419,613.271.320,6.175.494.693,573.696.436.662,553519337969.0,3785991261.0,9602341419.0,613271320.0,6175494693.0,573696436662.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,460.976.657.671,38.233.456.233,12.046.420.745,347.087.867,58.589.365.156,570.192.987.672,460976657671.0,38233456233.0,12046420745.0,347087867.0,58589365156.0,570192987672.0
