row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty con,Mua dịch vụDoanh thu cung cấp dịch vụ,9.207.462.079670.132.727,7.232.727.269677.543.635,,,9.207462079670133e+18,7.232727269677543e+18
Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty liên kết,Góp vốn hợp tác đầu tư,-,352.617.690.000,,,,352617690000.0
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty liên kết,Nhận góp vốn hợp tác đầu tư,-,7.000.615.385,,,,7000615385.0
Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty liên kết,Góp vốn,-,76.500.000.000,,,,76500000000.0
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Lợi nhuận được chiaDoanh thu cung cấp dịch vụ,530.000.000.00067.799.019.278,-,,,5.30000000000678e+22,
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty con,Góp vốn thành lậpDoanh thu cung cấp dịch vụ,3.200.000.00099.699.091,-,,,3.200000000996991e+17,
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Đi vayLợi nhuận được chiaCho vayGóp vốnLãi cho vay,85.000.000.00040.000.000.0009.000.000.0008.000.000.000152.753.425,-60.000.000.000-,,,8.50000000004e+50,
Công ty Cổ phần Đầu tư Văn Phú - Bắc Ái,Công ty Cổ phần Đầu tư Văn Phú - Bắc Ái,Công ty Cổ phần Đầu tư Văn Phú - Bắc Ái,Công ty con,Góp vốn hợp tác đầu tưGóp vốn bằng khoản phải thu,142.005.634.821198.000.000.000,41.677.046.172-,,,1.42005634821198e+23,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty liên kết,Góp vốn,1.983.900.000,2.160.000.000,,,1983900000.0,2160000000.0
