row_label_raw,row_label_full,Ông Tô Như Toàn,Chữ tịch,col_2,numeric__Chữ tịch,numeric__col_2
Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Phó chủ tịch,,,
Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Thành viên,,,
Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Thành viên,,,
Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Thành viên,bổ nhiệm ngày 26 tháng 4 năm 2022,,
Ông Tô Như Thắng,Ông Tô Như Thắng,Ông Tô Như Thắng,Thành viên,bổ nhiệm ngày 26 tháng 4 năm 2022,,
Ông Chu Đức Lượng,Ông Chu Đức Lượng,Ông Chu Đức Lượng,Thành viên độc lập,,,
Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Thành viên độc lập,,,
