row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Bảo cáo kết quả hoạt động kinh doanh riêng,numeric__Bảo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế thu nhập hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,449.591.042,-,420.880.718,-,449591042.0,,420880718.0,
Chi phí tư vấn,Tài sản thuế thu nhập hoãn lại > Chi phí tư vấn,Chi phí tư vấn,5.888.000.000,-,5.888.000.000,,5888000000.0,,5888000000.0,
,,,6.337.591.042,-,,,6337591042.0,,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế thu nhập hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(14.728.422.054),-,(1.980.501.372),-,-14728422054.0,,-1980501372.0,
Chi phí lãi trái phiếu chuyển đổi,Thuế thu nhập hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,(12.010.708.808),-,6.088.598.158,-,-12010708808.0,,6088598158.0,
,,,(26.739.130.862),,,,-26739130862.0,,,
Thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả thuần,(20.401.539.820),-,,,-20401539820.0,,,
Thu nhập thuế TNDN hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh riêng,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh riêng,Thu nhập thuế TNDN hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh riêng,,,10.416.977.504,-,,,10416977504.0,
