row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND SỐ DẦU NĂM,numeric__Số cuối năm,numeric__Đơn vị tính: VND SỐ DẦU NĂM
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bất động sản,Ngắn hạn > Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,14.193.408.415,124.715.873.266,14193408415.0,124715873266.0
Phải thu từ hoạt động khác,Ngắn hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,85.910.741.761,43.615.101.928,85910741761.0,43615101928.0
- Công ty TNHH MTV Đầu tư Hùng Sơn,Ngắn hạn > - Công ty TNHH MTV Đầu tư Hùng Sơn,- Công ty TNHH MTV Đầu tư Hùng Sơn,55.401.995.645,2.581.203.733,55401995645.0,2581203733.0
- Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Ngắn hạn > - Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,- Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,1.590.034.857,20.195.009.299,1590034857.0,20195009299.0
- Phải thu khách hàng khác,Ngắn hạn > - Phải thu khách hàng khác,- Phải thu khách hàng khác,28.918.711.259,20.838.888.896,28918711259.0,20838888896.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,100.104.150.176,168.330.975.194,100104150176.0,168330975194.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),59.144.442.185,27.671.763.257,59144442185.0,27671763257.0
Phải thu ngắn hạn từ các bên khác,Trong đó: > Phải thu ngắn hạn từ các bên khác,Phải thu ngắn hạn từ các bên khác,40.959.707.991,140.659.211.937,40959707991.0,140659211937.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ hoạt động khác,Dài hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,20.202.866.956,-,20202866956.0,
- Công ty TNHH Hồ Tây Một Thành Viên,Dài hạn > - Công ty TNHH Hồ Tây Một Thành Viên,- Công ty TNHH Hồ Tây Một Thành Viên,20.202.866.956,-,20202866956.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,20.202.866.956,-,20202866956.0,
Dự phòng phải thu ngắn hạn khó đòi,Dài hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(21.718.695.257),(10.607.504.257),-21718695257.0,-10607504257.0
