row_label_raw,row_label_full,col_0,Số đầu kỳ,Số phải thu trong kỳ,Số đã thu trong kỳ,Đơn vị tính: VND,numeric__Số đầu kỳ,numeric__Số phải thu trong kỳ,numeric__Số đã thu trong kỳ,numeric__Đơn vị tính: VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.320.188.261,4.139.535.688,(10.320.188.261),4.139.535.688,10320188261.0,4139535688.0,-10320188261.0,4139535688.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.770.412.499,7.676.334.953,(496.227.054),8.950.520.398,1770412499.0,7676334953.0,-496227054.0,8950520398.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,8.225.850,-,(8.225.850),-,8225850.0,,-8225850.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,12.098.826.610,11.815.870.641,(10.824.641.165),13.090.056.086,12098826610.0,11815870641.0,-10824641165.0,13090056086.0
,,,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,10.717.078.544,-,10.717.078.544,,10717078544.0,,10717078544.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,504.004.777,11.228.237.978,(10.864.433.721),867.809.034,504004777.0,11228237978.0,-10864433721.0,867809034.0
Tiền đấu giá đất,Phải nộp > Tiền đấu giá đất,Tiền đấu giá đất,-,1.003.688.000.000,(1.003.688.000.000),-,,1003688000000.0,-1003688000000.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,232.228.555,(232.228.555),-,,232228555.0,-232228555.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,504.004.777,1.025.865.545.077,(1.014.784.662.276),11.584.887.578,504004777.0,1025865545077.0,-1014784662276.0,11584887578.0
