row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh 21.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh 21.1),Vay ngân hàng(Thuyết minh 21.1),84.978.774.506,84.978.774.506,141.193.063.344,(110.221.755.845),115.950.082.005,115.950.082.005,84978774506.0,84978774506.0,141193063344.0,-110221755845.0,115950082005.0,115950082005.0
Vay đối tượng khác(Thuyết minh 21.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh 21.3),Vay đối tượng khác(Thuyết minh 21.3),28.900.000.000,28.900.000.000,113.000.000.000,(28.000.000.000),113.900.000.000,113.900.000.000,28900000000.0,28900000000.0,113000000000.0,-28000000000.0,113900000000.0,113900000000.0
Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 21.4),Vay ngắn hạn > Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 21.4),Trái phiếu phát hànhdài hạn đến hạn trả(Thuyết minh 21.4),178.906.849.316,178.906.849.316,1.093.150.684,(180.000.000.000),-,-,178906849316.0,178906849316.0,1093150684.0,-180000000000.0,,
Vay ngân hàng dài hạnđến hạn trả(Thuyết minh 21.2),Vay ngắn hạn > Vay ngân hàng dài hạnđến hạn trả(Thuyết minh 21.2),Vay ngân hàng dài hạnđến hạn trả(Thuyết minh 21.2),4.984.504.552,4.984.504.552,182.767.657.820,(4.984.504.552),182.767.657.820,182.767.657.820,4984504552.0,4984504552.0,182767657820.0,-4984504552.0,182767657820.0,182767657820.0
,,,297.770.128.374,297.770.128.374,438.053.871.848,(323.206.260.397),412.617.739.825,412.617.739.825,297770128374.0,297770128374.0,438053871848.0,-323206260397.0,412617739825.0,412617739825.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh 21.2),Vay dài hạn > Vay ngân hàng(Thuyết minh 21.2),Vay ngân hàng(Thuyết minh 21.2),466.753.779.923,466.753.779.923,746.014.537.437,(225.216.763.826),987.551.553.534,987.551.553.534,466753779923.0,466753779923.0,746014537437.0,-225216763826.0,987551553534.0,987551553534.0
Vay đối tượng khác(Thuyết minh 21.3),Vay dài hạn > Vay đối tượng khác(Thuyết minh 21.3),Vay đối tượng khác(Thuyết minh 21.3),-,-,550.000.000.000,-,550.000.000.000,550.000.000.000,,,550000000000.0,,550000000000.0,550000000000.0
Trái phiếu phát hành(Thuyết minh 21.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh 21.4),Trái phiếu phát hành(Thuyết minh 21.4),422.201.509.707,422.201.509.707,248.167.250.748,(5.687.600.000),664.681.160.455,664.681.160.455,422201509707.0,422201509707.0,248167250748.0,-5687600000.0,664681160455.0,664681160455.0
,,,888.955.289.630,888.955.289.630,1.544.181.788.185,(230.904.363.826),2.202.232.713.989,2.202.232.713.989,888955289630.0,888955289630.0,1544181788185.0,-230904363826.0,2202232713989.0,2202232713989.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.186.725.418.004,1.186.725.418.004,1.982.235.660.033,(554.110.624.223),2.614.850.453.814,2.614.850.453.814,1186725418004.0,1186725418004.0,1982235660033.0,-554110624223.0,2614850453814.0,2614850453814.0
