row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí lương nhân viên bán hàng,Chi phí bán hàng > Chi phí lương nhân viên bán hàng,Chi phí lương nhân viên bán hàng,4.655.948.534,4.028.896.640,4655948534.0,4028896640.0
Chi phí hoa hồng môi giới,Chi phí bán hàng > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,27.974.699.578,86.958.158.443,27974699578.0,86958158443.0
"Chi phí quảng cáo, khuyến mại","Chi phí bán hàng > Chi phí quảng cáo, khuyến mại","Chi phí quảng cáo, khuyến mại",4.529.877.309,14.270.827.865,4529877309.0,14270827865.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,5.775.391.120,26.803.914.609,5775391120.0,26803914609.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,42.935.916.541,132.061.797.557,42935916541.0,132061797557.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,33.271.506.053,28.449.164.678,33271506053.0,28449164678.0
Chi phí đồ dùng văn phòng,Chi phí quản lý doanh nghiệp > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,12.688.210.189,11.706.571.409,12688210189.0,11706571409.0
Chi phí khấu hao tài sản cổ định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cổ định,Chi phí khấu hao tài sản cổ định,1.112.375.766,3.497.914.354,1112375766.0,3497914354.0
Chi phí quản lý khách sạn,Chi phí quản lý doanh nghiệp > Chi phí quản lý khách sạn,Chi phí quản lý khách sạn,25.217.201.944,14.889.509.180,25217201944.0,14889509180.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,64.900.962.285,13.851.991.502,64900962285.0,13851991502.0
Chi phí bằng tiền khác,Chi phí quản lý doanh nghiệp > Chi phí bằng tiền khác,Chi phí bằng tiền khác,29.223.735.988,28.118.288.326,29223735988.0,28118288326.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,166.413.992.225,100.513.439.449,166413992225.0,100513439449.0
