row_label_raw,row_label_full,"Dự án Phân khu số 2, khu đô thị phía Nam thành phố Bắc Giang (i)",Số cuối năm > 1.191.103.305.896,Đơn vị tính: VND > Số đầu năm > -,numeric__Số cuối năm > 1.191.103.305.896,numeric__Đơn vị tính: VND > Số đầu năm > -
Các dự án khác,Các dự án khác,Các dự án khác,24.885.580.122,23.402.070.537,24885580122.0,23402070537.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.215.988.886.018,23.402.070.537,1215988886018.0,23402070537.0
