row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Giá trị hợp lý (VND),Số đầu năm > Giá trị (VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Giá trị hợp lý (VND),numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Giá trị hợp lý (VND),numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Giá trị hợp lý (VND)
Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,367.500.000.000,-,(*),367.500.000.000,-,(*),367500000000.0,,,367500000000.0,,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,278.006.400.000,-,(*),278.006.400.000,-,(*),278006400000.0,,,278006400000.0,,
Công ty Cổ phần Đầu tư Phong Phú (i),Công ty Cổ phần Đầu tư Phong Phú (i),Công ty Cổ phần Đầu tư Phong Phú (i),187.500.000.000,(2.281.431.424),(*),191.250.000.000,-,(*),187500000000.0,-2281431424.0,,191250000000.0,,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,163.786.400.000,-,(*),163.786.400.000,-,(*),163786400000.0,,,163786400000.0,,
Công ty Cổ phần Đầu tư Hà Phú Riverland (i),Công ty Cổ phần Đầu tư Hà Phú Riverland (i),Công ty Cổ phần Đầu tư Hà Phú Riverland (i),75.000.000.000,(528.367.960),(*),76.500.000.000,-,(*),75000000000.0,-528367960.0,,76500000000.0,,
Công ty TNHH BT Hà Đông (ii),Công ty TNHH BT Hà Đông (ii),Công ty TNHH BT Hà Đông (ii),56.546.786.097,,(*),54.562.886.097,-,(*),56546786097.0,,,54562886097.0,,
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,33.777.503.175,(4.967.202.009),(*),33.777.503.175,-,(*),33777503175.0,-4967202009.0,,33777503175.0,,
Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt (iii),Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt (iii),Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt (iii),-,-,(*),27.440.000.000,-,(*),,,,27440000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.162.117.089.272,(7.777.001.393),,1.192.823.189.272,-,,1162117089272.0,-7777001393.0,,1192823189272.0,,
