row_label_raw,row_label_full,col_0,Kinh doanh bất động sản,Dịch vụ lưu trú,Các hoạt động khác,Tổng cộng,numeric__Kinh doanh bất động sản,numeric__Dịch vụ lưu trú,numeric__Các hoạt động khác,numeric__Tổng cộng
Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,
Doanh thu thuần,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Doanh thu thuần,Doanh thu thuần,652.204.810.711,153.327.381.779,154.704.867.034,960.237.059.524,652204810711.0,153327381779.0,154704867034.0,960237059524.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,89.210.770.326,20.529.490.481,(48.874.851.093),60.865.409.714,89210770326.0,20529490481.0,-48874851093.0,60865409714.0
Thu nhập không phần bổ (*),Kết quả > Thu nhập không phần bổ (*),Thu nhập không phần bổ (*),,,,413.920.238.848,,,,413920238848.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,474.785.648.562,,,,474785648562.0
Thuế thu nhập doanh nghiệp,Kết quả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,9.976.977.504,,,,9976977504.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,484.762.626.066,,,,484762626066.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,2.360.910.113.667,646.050.182.657,404.108.072.286,3.411.068.368.610,2360910113667.0,646050182657.0,404108072286.0,3411068368610.0
Tài sản không phần bổ (**),Tài sản và công nợ > Tài sản không phần bổ (**),Tài sản không phần bổ (**),,,,4.673.690.419.481,,,,4673690419481.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,8.084.758.788.091,,,,8084758788091.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,1.031.273.564.159,31.332.825.486,10.828.627.323,1.073.435.016.968,1031273564159.0,31332825486.0,10828627323.0,1073435016968.0
Công nợ không phần bổ (***),Tài sản và công nợ > Công nợ không phần bổ (***),Công nợ không phần bổ (***),,,,3.589.804.834.883,,,,3589804834883.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,4.663.239.851.851,,,,4663239851851.0
