row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị (VND),Số cuối năm > Giá trị hợp lý (VND),Số cuối năm > Tỷ lệ lợi ích,Số cuối năm > Tỷ lệ quyền biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Giá trị hợp lý (VND),Số đầu năm > Tỷ lệ lợi ích,Số đầu năm > Tỷ lệ quyền biểu quyết,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Giá trị hợp lý (VND),numeric__Số cuối năm > Tỷ lệ lợi ích,numeric__Số cuối năm > Tỷ lệ quyền biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Giá trị hợp lý (VND),numeric__Số đầu năm > Tỷ lệ lợi ích,numeric__Số đầu năm > Tỷ lệ quyền biểu quyết
Công ty TNHH Văn Phú Resort – Lộc Bình (i),Công ty TNHH Văn Phú Resort – Lộc Bình (i),Công ty TNHH Văn Phú Resort – Lộc Bình (i),558.000.000.000,(vi),100%,100%,550.000.000.000,(vi),100%,100%,558000000000.0,,1.0,1.0,550000000000.0,,1.0,1.0
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,455.000.000.000,(vi),100%,100%,455.000.000.000,(vi),100%,100%,455000000000.0,,1.0,1.0,455000000000.0,,1.0,1.0
Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,428.000.000.000,(vi),100%,100%,428.000.000.000,(vi),100%,100%,428000000000.0,,1.0,1.0,428000000000.0,,1.0,1.0
Công ty Cổ phần Đầu tư Bất động sản Tân Trí(trước đây là “Công ty Cổ phần Đầu tư Văn Phú số 2”) (ii),Công ty Cổ phần Đầu tư Bất động sản Tân Trí(trước đây là “Công ty Cổ phần Đầu tư Văn Phú số 2”) (ii),Công ty Cổ phần Đầu tư Bất động sản Tân Trí(trước đây là “Công ty Cổ phần Đầu tư Văn Phú số 2”) (ii),208.031.250.000,(vi),"82,71%","82,71%",163.031.250.000,(vi),"78,5%","78,5%",208031250000.0,,0.8271,0.8271,163031250000.0,,0.785,0.785
Công ty Cổ phần Đầu tư Grand Home (trước đây là“Công ty Cổ phần Đầu tư Văn Phú số 1”),Công ty Cổ phần Đầu tư Grand Home (trước đây là“Công ty Cổ phần Đầu tư Văn Phú số 1”),Công ty Cổ phần Đầu tư Grand Home (trước đây là“Công ty Cổ phần Đầu tư Văn Phú số 1”),95.170.000.000,(vi),62%,62%,95.170.000.000,(vi),62%,62%,95170000000.0,,0.62,0.62,95170000000.0,,0.62,0.62
Công ty Cổ phần Văn Phú Bắc Ái (iii),Công ty Cổ phần Văn Phú Bắc Ái (iii),Công ty Cổ phần Văn Phú Bắc Ái (iii),288.000.000.000,(vi),60%,60%,90.000.000.000,(vi),60%,60%,288000000000.0,,0.6,0.6,90000000000.0,,0.6,0.6
Công ty TNHH Dịch vụ Du lịch Lâm Viên (iv),Công ty TNHH Dịch vụ Du lịch Lâm Viên (iv),Công ty TNHH Dịch vụ Du lịch Lâm Viên (iv),-,-,-,-,40.500.000.000,(vi),100%,100%,,,,,40500000000.0,,1.0,1.0
Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,570.000.000,(vi),"62,64%",70%,570.000.000,(vi),"62,64%",70%,570000000.0,,0.6264,0.7,570000000.0,,0.6264,0.7
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú (v),Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú (v),Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú (v),3.200.000.000,(vi),100%,100%,-,,-,-,3200000000.0,,1.0,1.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.035.971.250.000,,,,1.822.271.250.000,,,,2035971250000.0,,,,1822271250000.0,,,
