row_label_raw,row_label_full,col_0,31/12/2016(VND) > Giá trị,31/12/2016(VND) > Dự phòng,15/01/2016(VND) > Giá trị,15/01/2016(VND) > Dự phòng,numeric__31/12/2016(VND) > Giá trị,numeric__31/12/2016(VND) > Dự phòng,numeric__15/01/2016(VND) > Giá trị,numeric__15/01/2016(VND) > Dự phòng
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",46.207.394.163,-,73.072.927.036,-,46207394163.0,,73072927036.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",348.920.399,-,390.919.952,-,348920399.0,,390919952.0,
Chi phí SXKD dở dang,Chi phí SXKD dở dang,Chi phí SXKD dở dang,-,-,130.653.500,-,,,130653500.0,
Cộng,Cộng,Cộng,46.556.314.562,-,73.594.500.488,-,46556314562.0,,73594500488.0,
