row_label_raw,row_label_full,col_0,col_1,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),numeric__col_1,numeric__Từ 15/01/2016đến 31/12/2016(VND),numeric__Từ 01/01/2016đến 14/01/2016(VND)
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,6.461.769.716.201,(325.217.271.129),,6461769716201.0,-325217271129.0
Doanh thu bán than,Doanh thu bán than,Doanh thu bán than,Doanh thu bán than,131.456.990.630,-,,131456990630.0,
Doanh thu bán điện,Doanh thu bán điện,Doanh thu bán điện,Doanh thu bán điện,6.283.463.671.279,(326.273.581.932),,6283463671279.0,-326273581932.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,Doanh thu khác,46.849.054.292,1.056.310.803,,46849054292.0,1056310803.0
6.2 Doanh thu thuần,6.2 Doanh thu thuần,6.2 Doanh thu thuần,6.2 Doanh thu thuần,,,,,
,,,,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),,,
D. thu thuần về bán hàng và cung cấp dịch vụ,6.2 Doanh thu thuần > D. thu thuần về bán hàng và cung cấp dịch vụ,D. thu thuần về bán hàng và cung cấp dịch vụ,D. thu thuần về bán hàng và cung cấp dịch vụ,6.461.769.716.201,(325.217.271.129),,6461769716201.0,-325217271129.0
Doanh thu thuần bán than,6.2 Doanh thu thuần > Doanh thu thuần bán than,Doanh thu thuần bán than,Doanh thu thuần bán than,131.456.990.630,-,,131456990630.0,
Doanh thu thuần bán điện,6.2 Doanh thu thuần > Doanh thu thuần bán điện,Doanh thu thuần bán điện,Doanh thu thuần bán điện,6.283.463.671.279,(326.273.581.932),,6283463671279.0,-326273581932.0
Doanh thu thuần khác,6.2 Doanh thu thuần > Doanh thu thuần khác,Doanh thu thuần khác,Doanh thu thuần khác,46.849.054.292,1.056.310.803,,46849054292.0,1056310803.0
6.3 Giá vốn hàng bán,6.3 Giá vốn hàng bán,6.3 Giá vốn hàng bán,6.3 Giá vốn hàng bán,,,,,
,,,,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),,,
Giá vốn than bán,6.3 Giá vốn hàng bán > Giá vốn than bán,Giá vốn than bán,Giá vốn than bán,131.456.990.630,-,,131456990630.0,
Giá vốn điện,6.3 Giá vốn hàng bán > Giá vốn điện,Giá vốn điện,Giá vốn điện,5.264.048.232.952,190.729.579.764,,5264048232952.0,190729579764.0
Giá vốn khác,6.3 Giá vốn hàng bán > Giá vốn khác,Giá vốn khác,Giá vốn khác,44.331.438.933,1.017.738.245,,44331438933.0,1017738245.0
Cộng,6.3 Giá vốn hàng bán > Cộng,Cộng,Cộng,5.439.836.662.515,191.747.318.009,,5439836662515.0,191747318009.0
6.4 Doanh thu hoạt động tài chính,6.4 Doanh thu hoạt động tài chính,6.4 Doanh thu hoạt động tài chính,6.4 Doanh thu hoạt động tài chính,,,,,
,,,,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),,,
"Lãi tiền gửi, tiền cho vay","6.4 Doanh thu hoạt động tài chính > Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",7.135.268.696,-,,7135268696.0,
Tiền cổ tức và lợi nhuận được chia,6.4 Doanh thu hoạt động tài chính > Tiền cổ tức và lợi nhuận được chia,Tiền cổ tức và lợi nhuận được chia,Tiền cổ tức và lợi nhuận được chia,7.210.000.000,25.235.000.000,,7210000000.0,25235000000.0
Lãi chênh lệch tỷ giá,6.4 Doanh thu hoạt động tài chính > Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,4.073.859.117,59.995.000,,4073859117.0,59995000.0
Doanh thu tài chính khác,6.4 Doanh thu hoạt động tài chính > Doanh thu tài chính khác,Doanh thu tài chính khác,Doanh thu tài chính khác,-,30.932.068,,,30932068.0
Cộng,6.4 Doanh thu hoạt động tài chính > Cộng,Cộng,Cộng,18.419.127.813,25.325.927.068,,18419127813.0,25325927068.0
