row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,
Công ty CP Nhiệt điện Cẩm Phả - TKV,Đầu tư vào công ty con: > Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,Quảng Ninh,"89,21%","89,21%","Sản xuất, truyền tải và phân phối điện",,0.8920999999999999,0.8920999999999999,
Công ty CP Than Điện Nông Sơn – TKV,Đầu tư vào công ty con: > Công ty CP Than Điện Nông Sơn – TKV,Công ty CP Than Điện Nông Sơn – TKV,Quảng Nam,"88,77%","88,77%",Sản xuất than và sản xuất điện,,0.8876999999999999,0.8876999999999999,
Đầu tư vào Công ty khác:,Đầu tư vào Công ty khác:,Đầu tư vào Công ty khác:,Đầu tư vào Công ty khác:,Đầu tư vào Công ty khác:,Đầu tư vào Công ty khác:,Đầu tư vào Công ty khác:,,,,
Công ty TNHH Điện lực Vĩnh Tân,Đầu tư vào Công ty khác: > Công ty TNHH Điện lực Vĩnh Tân,Công ty TNHH Điện lực Vĩnh Tân,Bình Thuận,5%,5%,"Sản xuất, truyền tải và phân phối điện",,0.05,0.05,
Công ty CP Nhiệt điện Hải Phòng,Đầu tư vào Công ty khác: > Công ty CP Nhiệt điện Hải Phòng,Công ty CP Nhiệt điện Hải Phòng,Hải Phòng,"7,21%","7,21%","Sản xuất, truyền tải và phân phối điện",,0.0721,0.0721,
Công ty CP Nhiệt điện Quảng Ninh,Đầu tư vào Công ty khác: > Công ty CP Nhiệt điện Quảng Ninh,Công ty CP Nhiệt điện Quảng Ninh,Quảng Ninh,"10,62%","10,62%","Sản xuất, truyền tải và phân phối điện",,0.10619999999999999,0.10619999999999999,
