row_label_raw,row_label_full,NGUÔN VÔN,Mã số,Thuyết minh,31/12/2016,15/01/2016,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016,numeric__15/01/2016
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,16.094.579.295.457,17.911.266.347.428,300.0,,16094579295457.0,17911266347428.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,3.047.696.850.961,3.160.779.333.141,310.0,,3047696850961.0,3160779333141.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,5.13,1.014.220.082.493,1.068.195.842.261,311.0,513.0,1014220082493.0,1068195842261.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,41.464.435,5.487.809.442,312.0,,41464435.0,5487809442.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,5.14,24.285.439.584,59.255.130.083,313.0,514.0,24285439584.0,59255130083.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,39.092.659.161,48.402.176.823,314.0,,39092659161.0,48402176823.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,5.15,263.684.771.162,254.603.398.522,315.0,515.0,263684771162.0,254603398522.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,5.16,43.195.552.523,64.421.426.496,319.0,516.0,43195552523.0,64421426496.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,5.12,1.644.054.757.720,1.643.691.958.169,320.0,512.0,1644054757720.0,1643691958169.0
Quỹ khen thưởng và phúc lợi,Quỹ khen thưởng và phúc lợi,Quỹ khen thưởng và phúc lợi,322,,19.122.123.883,16.721.591.345,322.0,,19122123883.0,16721591345.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,13.046.882.444.496,14.750.487.014.287,330.0,,13046882444496.0,14750487014287.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,5.13,626.944.266.919,618.416.284.351,331.0,513.0,626944266919.0,618416284351.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,5.12,12.419.938.177.577,14.132.070.729.936,338.0,512.0,12419938177577.0,14132070729936.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,6.442.328.480.692,6.778.085.000.000,400.0,,6442328480692.0,6778085000000.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,5.17,6.442.328.480.692,6.778.085.000.000,410.0,517.0,6442328480692.0,6778085000000.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,6.800.000.000.000,6.436.967.325.797,411.0,,6800000000000.0,6436967325797.0
Thăng dư vốn cổ phần,Thăng dư vốn cổ phần,Thăng dư vốn cổ phần,412,,(3.640.600.000),-,412.0,,-3640600000.0,
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,,-,570.597.908.525,416.0,,,570597908525.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,-,-,417.0,,,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,-,1.069.727.013,418.0,,,1069727013.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,(354.030.919.308),(230.549.961.335),421.0,,-354030919308.0,-230549961335.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,-,(828.058.894.686),,,,-828058894686.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,(354.030.919.308),597.508.933.351,,,-354030919308.0,597508933351.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,-,-,429.0,,,
Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,Nguồn kinh phí và quỹ khác,430,,-,-,430.0,,,
Nguồn kinh phí,Nguồn kinh phí,Nguồn kinh phí,431,,-,-,431.0,,,
Nguồn kinh phí hình thành TSCĐ,Nguồn kinh phí hình thành TSCĐ,Nguồn kinh phí hình thành TSCĐ,432,,-,-,432.0,,,
