row_label_raw,row_label_full,col_0,31/12/2016(VND) > Giá trị,31/12/2016(VND) > Số có khả năng trả nợ,15/01/2016(VND) > Giá trị,15/01/2016(VND) > Số có khả năng trả nợ,numeric__31/12/2016(VND) > Giá trị,numeric__31/12/2016(VND) > Số có khả năng trả nợ,numeric__15/01/2016(VND) > Giá trị,numeric__15/01/2016(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,1.014.220.082.493,1.014.220.082.493,1.068.195.842.261,1.068.195.842.261,1014220082493.0,1014220082493.0,1068195842261.0,1068195842261.0
Công ty Kho vận và cảng Cẩm Phả,Công ty Kho vận và cảng Cẩm Phả,Công ty Kho vận và cảng Cẩm Phả,57.051.357.089,57.051.357.089,74.747.344.039,74.747.344.039,57051357089.0,57051357089.0,74747344039.0,74747344039.0
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,152.534.868.663,152.534.868.663,186.203.196.129,186.203.196.129,152534868663.0,152534868663.0,186203196129.0,186203196129.0
Công ty Kho Vận Đá Bạc,Công ty Kho Vận Đá Bạc,Công ty Kho Vận Đá Bạc,84.759.333.730,84.759.333.730,60.448.391.305,60.448.391.305,84759333730.0,84759333730.0,60448391305.0,60448391305.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng Công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng Công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng Công ty Sông Đà,524.772.038.806,524.772.038.806,556.626.952.526,556.626.952.526,524772038806.0,524772038806.0,556626952526.0,556626952526.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,10.467.633.422,10.467.633.422,63.567.142.902,63.567.142.902,10467633422.0,10467633422.0,63567142902.0,63567142902.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,184.634.850.783,184.634.850.783,126.602.815.360,126.602.815.360,184634850783.0,184634850783.0,126602815360.0,126602815360.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,626.944.266.919,626.944.266.919,618.416.284.351,618.416.284.351,626944266919.0,626944266919.0,618416284351.0,618416284351.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,391.979.361.677,391.979.361.677,386.647.479.181,386.647.479.181,391979361677.0,391979361677.0,386647479181.0,386647479181.0
Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,Công ty TNHH công trình điện Cáp Nhĩ Tân - DA Cao Ngạn,234.964.905.242,234.964.905.242,231.768.805.170,231.768.805.170,234964905242.0,234964905242.0,231768805170.0,231768805170.0
Cộng,Cộng,Cộng,1.641.164.349.412,1.641.164.349.412,1.686.612.126.612,1.686.612.126.612,1641164349412.0,1641164349412.0,1686612126612.0,1686612126612.0
