row_label_raw,row_label_full,Ngày 31/12/2016 > Giá trị ghi sổ:,Dưới 1 năm > Ngày 31/12/2016 > Giá trị ghi sổ:,Từ 1 năm trở lên > Ngày 31/12/2016 > Giá trị ghi sổ:,Tổng cộng > Ngày 31/12/2016 > Giá trị ghi sổ:,numeric__Dưới 1 năm > Ngày 31/12/2016 > Giá trị ghi sổ:,numeric__Từ 1 năm trở lên > Ngày 31/12/2016 > Giá trị ghi sổ:,numeric__Tổng cộng > Ngày 31/12/2016 > Giá trị ghi sổ:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,328.610.885.880,-,328.610.885.880,328610885880.0,,328610885880.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,1.404.975.769.750,-,1.404.975.769.750,1404975769750.0,,1404975769750.0
Đầu tư,Đầu tư,Đầu tư,-,2.868.398.499.205,2.868.398.499.205,,2868398499205.0,2868398499205.0
Phải thu khác,Phải thu khác,Phải thu khác,825.235.699.086,965.552.378,826.201.251.464,825235699086.0,965552378.0,826201251464.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(5.061.330.000),-,(5.061.330.000),-5061330000.0,,-5061330000.0
Dự phòng giảm giá các khoản đầu tư,Trừ: > Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,(686.513.415.410),(686.513.415.410),,-686513415410.0,-686513415410.0
Tổng cộng,Trừ: > Tổng cộng,Tổng cộng,2.553.761.024.716,2.182.850.636.173,4.736.611.660.889,2553761024716.0,2182850636173.0,4736611660889.0
Ngày 31/12/2016,Ngày 31/12/2016,Ngày 31/12/2016,Ngày 31/12/2016,Ngày 31/12/2016,Ngày 31/12/2016,,,
Các khoản vay và nợ,Ngày 31/12/2016 > Các khoản vay và nợ,Các khoản vay và nợ,1.644.054.757.720,12.419.938.177.577,14.063.992.935.297,1644054757720.0,12419938177577.0,14063992935297.0
Phải trả người bán,Ngày 31/12/2016 > Phải trả người bán,Phải trả người bán,1.014.220.082.493,626.944.266.919,1.641.164.349.412,1014220082493.0,626944266919.0,1641164349412.0
"Phải trả, PN khác và chi phí phải trả","Ngày 31/12/2016 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",370.299.886.865,-,370.299.886.865,370299886865.0,,370299886865.0
Tổng cộng,Ngày 31/12/2016 > Tổng cộng,Tổng cộng,3.028.574.727.078,13.046.882.444.496,16.075.457.171.574,3028574727078.0,13046882444496.0,16075457171574.0
Chênh lệch thanh khoản thuần,Ngày 31/12/2016 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(474.813.702.362),(10.864.031.808.323),(11.338.845.510.685),-474813702362.0,-10864031808323.0,-11338845510685.0
Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,,,
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,
Tiền và các khoản tương đương tiền,Giá trị ghi sổ: > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,65.847.900.361,-,65.847.900.361,65847900361.0,,65847900361.0
Phải thu khách hàng,Giá trị ghi sổ: > Phải thu khách hàng,Phải thu khách hàng,1.501.967.164.474,-,1.501.967.164.474,1501967164474.0,,1501967164474.0
Đầu tư,Giá trị ghi sổ: > Đầu tư,Đầu tư,-,2.824.554.177.495,2.824.554.177.495,,2824554177495.0,2824554177495.0
Phải thu khác,Giá trị ghi sổ: > Phải thu khác,Phải thu khác,1.039.653.482.256,965.552.378,1.040.619.034.634,1039653482256.0,965552378.0,1040619034634.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,-,-,-,,,
Dự Phòng giảm giá các khoản đầu tư,Dự Phòng giảm giá các khoản đầu tư,Dự Phòng giảm giá các khoản đầu tư,-,-,-,,,
