row_label_raw,row_label_full,col_0,15/01/2016(VND),Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2016(VND),numeric__15/01/2016(VND),numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2016(VND)
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,58.960.137.942,167.805.355.112,213.738.583.322,13.026.909.732,58960137942.0,167805355112.0,213738583322.0,13026909732.0
Thuế xuất nhập khẩu,Phải nộp > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,3.292,257.457.801,257.461.093,-,3292.0,257457801.0,257461093.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,247.107.116,1.282.535.718,1.242.468.417,287.174.417,247107116.0,1282535718.0,1242468417.0,287174417.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,45.229.905,37.372.547.691,36.418.480.600,999.296.996,45229905.0,37372547691.0,36418480600.0,999296996.0
Thuế đất và tiền thuê đất,Phải nộp > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,7.508.229.102,1.170.608.219,6.337.620.883,,7508229102.0,1170608219.0,6337620883.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,905.507.097,905.507.097,-,,905507097.0,905507097.0,
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",2.651.828,11.366.138.994,7.734.353.266,3.634.437.556,2651828.0,11366138994.0,7734353266.0,3634437556.0
Cộng,Phải nộp > Cộng,Cộng,59.255.130.083,226.497.771.515,261.467.462.014,24.285.439.584,59255130083.0,226497771515.0,261467462014.0,24285439584.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,5.990.400.703,12.621.021.515,6.630.620.812,,5990400703.0,12621021515.0,6630620812.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,413.904.592,-,-,413.904.592,413904592.0,,,413904592.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,261.421.945,261.421.945,7.137.356,7.137.356,261421945.0,261421945.0,7137356.0,7137356.0
Thuế tài nguyên,Phải thu > Thuế tài nguyên,Thuế tài nguyên,3.075.592.506,3.075.592.506,-,-,3075592506.0,3075592506.0,,
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,-,19.696.106,1.295.142.249,1.275.446.143,,19696106.0,1295142249.0,1275446143.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",-,-,-,-,,,,
Cộng,"Các khoản phí, lệ phí và các khoản phải nộp khác > Cộng",Cộng,3.750.919.043,9.347.111.260,13.923.301.120,8.327.108.903,3750919043.0,9347111260.0,13923301120.0,8327108903.0
