row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Từ 15/01/2016đến 31/12/2016,Từ 01/01/2016đến 14/01/2016,numeric__Mã số,numeric__Từ 15/01/2016đến 31/12/2016,numeric__Từ 01/01/2016đến 14/01/2016
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,,,
Lợi nhuận trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuếĐiều chỉnh cho các khoản,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,(354.030.919.308),597.508.933.351,1.0,-354030919308.0,597508933351.0
Khấu hao TSCĐ và BĐSĐT,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,1.332.636.852.259,57.119.388.699,2.0,1332636852259.0,57119388699.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Các khoản dự phòng,Các khoản dự phòng,03,691.574.745.410,(585.573.231.656),3.0,691574745410.0,-585573231656.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,155.638.829.907,(34.977.051.433),4.0,155638829907.0,-34977051433.0
Lãi lỗ từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,(14.345.268.696),(25.235.000.000),5.0,-14345268696.0,-25235000000.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Chi phí lãi vay,Chi phí lãi vay,06,390.623.265.254,14.387.556.616,6.0,390623265254.0,14387556616.0
Các khoản điều chỉnh khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,73.672.668.781,7.0,,73672668781.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.202.097.504.826,96.903.264.358,8.0,2202097504826.0,96903264358.0
(Tăng)/Giảm các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,146.485.337.343,385.009.197.216,9.0,146485337343.0,385009197216.0
(Tăng)/Giảm hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,48.183.894.145,21.954.427.053,10.0,48183894145.0,21954427053.0
Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),11,(117.824.298.330),103.050.228.404,11.0,-117824298330.0,103050228404.0
(Tăng)/Giảm chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,(29.275.914.650),(565.172.299.436),12.0,-29275914650.0,-565172299436.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(382.298.882.414),(3.582.666.667),14.0,-382298882414.0,-3582666667.0
Tiền thu khác từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,10.516.650.000,60.000.000,16.0,10516650000.0,60000000.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(11.465.124.799),(371.700.000),17.0,-11465124799.0,-371700000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.866.419.166.121,37.850.450.928,20.0,1866419166121.0,37850450928.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
