row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.498.229.386.994,14.112.546.406.989,491.711.864.364,71.877.141.083,429.139.718.840,21.603.504.518.270,6498229386994.0,14112546406989.0,491711864364.0,71877141083.0,429139718840.0,21603504518270.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,6.020.164.545,-,3.067.081.819,-,9.087.246.364,,6020164545.0,,3067081819.0,,9087246364.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,163.454.753.349,81.682.088.529,-,-,-,245.136.841.878,163454753349.0,81682088529.0,,,,245136841878.0
- Phân loại lại nhóm TSCĐ,NGUYÊN GIÁ > - Phân loại lại nhóm TSCĐ,- Phân loại lại nhóm TSCĐ,-,441.922.890.514,-,-,-,441.922.890.514,,441922890514.0,,,,441922890514.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,2.411.962.727,248.948.052,-,2.660.910.779,,,2411962727.0,248948052.0,,2660910779.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(535.756.350),-,-,-,-,(535.756.350),-535756350.0,,,,,-535756350.0
- Phân loại lại nhóm TSCĐ,NGUYÊN GIÁ > - Phân loại lại nhóm TSCĐ,- Phân loại lại nhóm TSCĐ,(4.445.374.753),-,(241.038.199.933),(26.466.101.263),(169.973.214.565),(441.922.890.514),-4445374753.0,,-241038199933.0,-26466101263.0,-169973214565.0,-441922890514.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(12.227.863.265),(32.131.627.671),(2.411.962.727),(73.311.688),-,(46.844.765.351),-12227863265.0,-32131627671.0,-2411962727.0,-73311688.0,,-46844765351.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.644.475.145.975,14.610.039.922.906,250.673.664.431,48.653.758.003,259.166.504.275,21.813.008.995.590,6644475145975.0,14610039922906.0,250673664431.0,48653758003.0,259166504275.0,21813008995590.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,810.589.899.159,5.009.930.502.150,190.488.185.597,46.908.682.994,172.486.176.592,6.230.403.446.492,810589899159.0,5009930502150.0,190488185597.0,46908682994.0,172486176592.0,6230403446492.0
