row_label_raw,row_label_full,col_0,col_1,(VND) > Giá trị,(VND) > Khả năng trả nợ,Tăng trong năm,Giảm trong năm,(VND) > Giá trị_1,(VND) > Khả năng trả nợ_1,numeric__col_1,numeric__(VND) > Giá trị,numeric__(VND) > Khả năng trả nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__(VND) > Giá trị_1,numeric__(VND) > Khả năng trả nợ_1
a.,a.,a.,Gốc vay ngắn hạn,238.356.594.170,238.356.594.170,514.195.349.632,752.551.943.802,-,-,,238356594170.0,238356594170.0,514195349632.0,752551943802.0,,
a.,a.,a.,Vay ngân hàng,220.000.000.000,220.000.000.000,514.195.349.632,734.195.349.632,-,-,,220000000000.0,220000000000.0,514195349632.0,734195349632.0,,
a.,a.,a.,Vay Tập đoàn,18.356.594.170,18.356.594.170,-,18.356.594.170,-,-,,18356594170.0,18356594170.0,,18356594170.0,,
b.,b.,b.,Gốc vay dài hạn,15.537.406.093.935,15.537.406.093.935,517.092.712.421,1.990.505.871.059,14.063.992.935.297,14.063.992.935.297,,15537406093935.0,15537406093935.0,517092712421.0,1990505871059.0,14063992935297.0,14063992935297.0
+,+,+,Từ 1 năm đến 5 năm,148.589.624.169,148.589.624.169,10.571.684.505,134.274.817.742,24.886.490.932,24.886.490.932,,148589624169.0,148589624169.0,10571684505.0,134274817742.0,24886490932.0,24886490932.0
+,+,+,Vay ngân hàng,148.589.624.169,148.589.624.169,10.571.684.505,134.274.817.742,24.886.490.932,24.886.490.932,,148589624169.0,148589624169.0,10571684505.0,134274817742.0,24886490932.0,24886490932.0
+,+,+,Vay Tập đoàn,-,-,-,-,-,-,,,,,,,
+,+ > +,+,Trên 5 năm,15.388.816.469.766,15.388.816.469.766,506.521.027.916,1.856.231.053.317,14.039.106.444.365,14.039.106.444.365,,15388816469766.0,15388816469766.0,506521027916.0,1856231053317.0,14039106444365.0,14039106444365.0
+,+ > +,+,Vay ngân hàng,3.849.072.108.665,3.849.072.108.665,314.436.795.047,94.364.461.672,4.069.144.442.040,4.069.144.442.040,,3849072108665.0,3849072108665.0,314436795047.0,94364461672.0,4069144442040.0,4069144442040.0
+,+ > +,+,Vay Tập đoàn,11.539.744.361.101,11.539.744.361.101,192.084.232.869,1.761.866.591.645,9.969.962.002.325,9.969.962.002.325,,11539744361101.0,11539744361101.0,192084232869.0,1761866591645.0,9969962002325.0,9969962002325.0
+,+ > +,+,Cộng,15.775.762.688.105,15.775.762.688.105,1.031.288.062.053,2.743.057.814.861,14.063.992.935.297,14.063.992.935.297,,15775762688105.0,15775762688105.0,1031288062053.0,2743057814861.0,14063992935297.0,14063992935297.0
