row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2016,15/01/2016,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016,numeric__15/01/2016
TÀI SẢN NGÁN HẠN,TÀI SẢN NGÁN HẠN,TÀI SẢN NGÁN HẠN,100,,2.601.338.741.454,2.682.775.415.141,100.0,,2601338741454.0,2682775415141.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,,328.610.885.880,65.847.900.361,110.0,,328610885880.0,65847900361.0
Tiền,Tiền,Tiền,111,5.1,48.610.885.880,65.847.900.361,111.0,51.0,48610885880.0,65847900361.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,280.000.000.000,-,112.0,,280000000000.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,-,-,120.0,52.0,,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.163.923.534.877,2.503.047.313.530,130.0,,2163923534877.0,2503047313530.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.4,1.404.975.769.750,1.501.967.164.474,131.0,54.0,1404975769750.0,1501967164474.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,15.395.485.398,30.750.363.785,132.0,,15395485398.0,30750363785.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,5.3,511.993.604.334,676.917.444.885,135.0,53.0,511993604334.0,676917444885.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.5,236.620.005.395,293.412.340.386,136.0,55.0,236620005395.0,293412340386.0
DP các khoản phải thu ngắn hạn khó đòi (*),DP các khoản phải thu ngắn hạn khó đòi (*),DP các khoản phải thu ngắn hạn khó đòi (*),137,5.6,(5.061.330.000),-,137.0,56.0,-5061330000.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.7,46.556.314.562,73.594.500.488,140.0,57.0,46556314562.0,73594500488.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,46.556.314.562,73.594.500.488,141.0,,46556314562.0,73594500488.0
