row_label_raw,row_label_full,col_0,(VND),(VND)_1,(VND)_2,(VND)_3,(VND)_4,(VND)_5,numeric__(VND),numeric__(VND)_1,numeric__(VND)_2,numeric__(VND)_3,numeric__(VND)_4,numeric__(VND)_5
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,511.993.604.334,511.993.604.334,-,676.917.444.885,676.917.444.885,-,511993604334.0,511993604334.0,,676917444885.0,676917444885.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,508.346.258.498,508.346.258.498,-,501.431.500.266,501.431.500.266,-,508346258498.0,508346258498.0,,501431500266.0,501431500266.0,
+ Gốc vay,+ Gốc vay,+ Gốc vay,-,-,-,-,-,-,,,,,,
+ Cho vay dài hạn đến hạn trả,+ Gốc vay > + Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,508.346.258.498,508.346.258.498,-,501.431.500.266,501.431.500.266,-,508346258498.0,508346258498.0,,501431500266.0,501431500266.0,
Công ty CP Than Điện Nông Sơn - TKV,+ Gốc vay > Công ty CP Than Điện Nông Sơn - TKV,Công ty CP Than Điện Nông Sơn - TKV,3.647.345.836,3.647.345.836,-,175.485.944.619,175.485.944.619,-,3647345836.0,3647345836.0,,175485944619.0,175485944619.0,
+ Gốc vay,+ Gốc vay > + Gốc vay,+ Gốc vay,-,-,-,18.356.594.170,18.356.594.170,-,,,,18356594170.0,18356594170.0,
+ Cho vay dài hạn đến hạn trả,+ Gốc vay > + Cho vay dài hạn đến hạn trả,+ Cho vay dài hạn đến hạn trả,3.647.345.836,3.647.345.836,-,157.129.350.449,157.129.350.449,-,3647345836.0,3647345836.0,,157129350449.0,157129350449.0,
Dải hạn,+ Gốc vay > Dải hạn,Dải hạn,2.552.685.824.033,2.552.685.824.033,-,2.883.382.545.207,2.883.382.545.207,-,2552685824033.0,2552685824033.0,,2883382545207.0,2883382545207.0,
Công ty CP Nhiệt điện Cẩm Phả - TKV,+ Gốc vay > Công ty CP Nhiệt điện Cẩm Phả - TKV,Công ty CP Nhiệt điện Cẩm Phả - TKV,2.292.254.857.539,2.292.254.857.539,-,2.772.942.083.098,2.772.942.083.098,-,2292254857539.0,2292254857539.0,,2772942083098.0,2772942083098.0,
Công ty CP Than Điện Nông Sơn - TKV,+ Gốc vay > Công ty CP Than Điện Nông Sơn - TKV,Công ty CP Than Điện Nông Sơn - TKV,260.430.966.494,260.430.966.494,-,110.440.462.109,110.440.462.109,-,260430966494.0,260430966494.0,,110440462109.0,110440462109.0,
Cộng,+ Gốc vay > Cộng,Cộng,3.064.679.428.367,3.064.679.428.367,-,3.560.299.990.092,3.560.299.990.092,-,3064679428367.0,3064679428367.0,,3560299990092.0,3560299990092.0,
