row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2016,Giá trị ghi sổ > 15/01/2016,Giá trị hợp lý > 31/12/2016,Giá trị hợp lý > 15/01/2016,numeric__Giá trị ghi sổ > 31/12/2016,numeric__Giá trị ghi sổ > 15/01/2016,numeric__Giá trị hợp lý > 31/12/2016,numeric__Giá trị hợp lý > 15/01/2016
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,2.868.398.499.205,2.824.554.177.495,2.181.885.083.795,2.824.554.177.495,2868398499205.0,2824554177495.0,2181885083795.0,2824554177495.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,1.404.975.769.750,1.501.967.164.474,1.399.914.439.750,1.501.967.164.474,1404975769750.0,1501967164474.0,1399914439750.0,1501967164474.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,826.201.251.464,1.040.619.034.634,826.201.251.464,1.040.619.034.634,826201251464.0,1040619034634.0,826201251464.0,1040619034634.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,328.610.885.880,65.847.900.361,328.610.885.880,65.847.900.361,328610885880.0,65847900361.0,328610885880.0,65847900361.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,5.428.186.406.299,5.432.988.276.964,4.736.611.660.889,5.432.988.276.964,5428186406299.0,5432988276964.0,4736611660889.0,5432988276964.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,14.063.992.935.297,15.775.762.688.105,14.063.992.935.297,15.775.762.688.105,14063992935297.0,15775762688105.0,14063992935297.0,15775762688105.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,1.641.164.349.412,1.686.612.126.612,1.641.164.349.412,1.686.612.126.612,1641164349412.0,1686612126612.0,1641164349412.0,1686612126612.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,370.299.886.865,432.169.941.366,370.200.610.411,432.169.941.366,370299886865.0,432169941366.0,370200610411.0,432169941366.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,16.075.457.171.574,17.894.544.756.083,16.075.457.171.574,17.894.544.756.083,16075457171574.0,17894544756083.0,16075457171574.0,17894544756083.0
