row_label_raw,row_label_full,(ii) Phải thu khác,31/12/2016(VND),numeric__31/12/2016(VND)
Phải thu tiền than không đủ chất lượng (Nhiệt điện Na Dương),Phải thu tiền than không đủ chất lượng (Nhiệt điện Na Dương),Phải thu tiền than không đủ chất lượng (Nhiệt điện Na Dương),5.701.943.699,5701943699.0
Phải thu thuế nhập khẩu thiết bị nộp hộ nhà thầu (BQL Dự án Đồng Nai 5),Phải thu thuế nhập khẩu thiết bị nộp hộ nhà thầu (BQL Dự án Đồng Nai 5),Phải thu thuế nhập khẩu thiết bị nộp hộ nhà thầu (BQL Dự án Đồng Nai 5),1.945.463.773,1945463773.0
Tiền giải phóng mặt bằng - Trung tâm phát triển quỹ đất huyện Đắk R'Lắp,Tiền giải phóng mặt bằng - Trung tâm phát triển quỹ đất huyện Đắk R'Lắp,Tiền giải phóng mặt bằng - Trung tâm phát triển quỹ đất huyện Đắk R'Lắp,1.420.905.880,1420905880.0
Phải thu tiền vật tư nhà thầu SFECO,Phải thu tiền vật tư nhà thầu SFECO,Phải thu tiền vật tư nhà thầu SFECO,4.532.276.360,4532276360.0
Phải thu tiền cổ tức của Công ty Cổ phần Nhiệt điện Hải Phòng,Phải thu tiền cổ tức của Công ty Cổ phần Nhiệt điện Hải Phòng,Phải thu tiền cổ tức của Công ty Cổ phần Nhiệt điện Hải Phòng,7.210.000.000,7210000000.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,1.317.349.800,1317349800.0
Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty Đầu tư XD&TM – Tổng Công ty Đông Bắc,Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty Đầu tư XD&TM – Tổng Công ty Đông Bắc,Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty Đầu tư XD&TM – Tổng Công ty Đông Bắc,850.000.000,850000000.0
Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty cổ phần Đầu tư và Xây dựng - VVMI,Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty cổ phần Đầu tư và Xây dựng - VVMI,Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty cổ phần Đầu tư và Xây dựng - VVMI,1.000.000.000,1000000000.0
Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty TNHH một thành viên môi trường - Vinacomin,Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty TNHH một thành viên môi trường - Vinacomin,Phải thu nhà thầu phụ của dự án NMND Cao Ngạn - Công ty TNHH một thành viên môi trường - Vinacomin,1.250.000.000,1250000000.0
Các khoản khác,Các khoản khác,Các khoản khác,4.848.045.925,4848045925.0
Cộng,Cộng,Cộng,30.075.985.437,30075985437.0
