row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ SH VND (*),Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Chênh lệch đánh giá lại TS VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ SH VND (*),numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Chênh lệch đánh giá lại TS VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 15/01/2016,Số dư tại ngày 15/01/2016,Số dư tại ngày 15/01/2016,6.436.967.325.797,-,1.069.727.013,570.597.908.525,(230.549.961.335),6.778.085.000.000,6436967325797.0,,1069727013.0,570597908525.0,-230549961335.0,6778085000000.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,21.915.000.000,-,-,-,-,21.915.000.000,21915000000.0,,,,,21915000000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,-,,,,,,
Tăng khác,Lãi trong năm nay > Tăng khác,Tăng khác,571.667.635.538,,(1.069.727.013),(570.597.908.525),-,-,571667635538.0,,-1069727013.0,-570597908525.0,,
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,-,-,-,-,-,-,,,,,,
Lỗ trong năm nay,Giảm vốn trong năm nay > Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,-,(354.030.919.308),(354.030.919.308),,,,,-354030919308.0,-354030919308.0
Giảm khác,Giảm vốn trong năm nay > Giảm khác,Giảm khác,(230.549.961.335),(3.640.600.000),-,-,230.549.961.335,(3.640.600.000),-230549961335.0,-3640600000.0,,,230549961335.0,-3640600000.0
Số dư cuối năm nay,Giảm vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.800.000.000.000,(3.640.600.000),-,-,(354.030.919.308),6.442.328.480.692,6800000000000.0,-3640600000.0,,,-354030919308.0,6442328480692.0
