row_label_raw,row_label_full,col_0,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),numeric__Từ 15/01/2016đến 31/12/2016(VND),numeric__Từ 01/01/2016đến 14/01/2016(VND)
Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,390.623.265.254,14.387.556.616,390623265254.0,14387556616.0
Giảm chi phí tài chính do treo lại khoản chênh lệch tỷ giá để phân bổ 5 năm,Giảm chi phí tài chính do treo lại khoản chênh lệch tỷ giá để phân bổ 5 năm,Giảm chi phí tài chính do treo lại khoản chênh lệch tỷ giá để phân bổ 5 năm,-,(563.867.266.554),,-563867266554.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,160.626.881.170,(34.977.051.433),160626881170.0,-34977051433.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,118.802.661,73.703.600.849,118802661.0,73703600849.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,686.513.415.410,(585.573.231.656),686513415410.0,-585573231656.0
Cộng,Cộng,Cộng,1.237.882.364.495,(1.096.326.392.178),1237882364495.0,-1096326392178.0
6.6 Thu nhập khác,6.6 Thu nhập khác,6.6 Thu nhập khác,6.6 Thu nhập khác,6.6 Thu nhập khác,,
,,,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),,
Thu nhập khác,6.6 Thu nhập khác > Thu nhập khác,Thu nhập khác,140.618.196,(259.543.637),140618196.0,-259543637.0
Cộng,6.6 Thu nhập khác > Cộng,Cộng,140.618.196,(259.543.637),140618196.0,-259543637.0
6.7 Chi phí khác,6.7 Chi phí khác,6.7 Chi phí khác,6.7 Chi phí khác,6.7 Chi phí khác,,
,,,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),,
Tiền thuê đất từ 2012-2015 (Cao Ngạn),6.7 Chi phí khác > Tiền thuê đất từ 2012-2015 (Cao Ngạn),Tiền thuê đất từ 2012-2015 (Cao Ngạn),5.070.096.706,-,5070096706.0,
Chi phí thanh lý TSCĐ,6.7 Chi phí khác > Chi phí thanh lý TSCĐ,Chi phí thanh lý TSCĐ,620.376.038,-,620376038.0,
Chi phí khác,6.7 Chi phí khác > Chi phí khác,Chi phí khác,2.554.054.443,1.193.320.526,2554054443.0,1193320526.0
Cộng,6.7 Chi phí khác > Cộng,Cộng,8.244.527.187,1.193.320.526,8244527187.0,1193320526.0
