row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Từ ngày 15/01/2015đến ngày 31/12/2015,Từ ngày 01/01/2014đến ngày 14/01/2015(Trình bày lại),numeric__Mã số,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Từ ngày 01/01/2014đến ngày 14/01/2015(Trình bày lại)
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,708.189.278.453,990.505.110.621,1.0,708189278453.0,990505110621.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,,
Khấu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,1.221.409.114.676,1.397.791.185.194,2.0,1221409114676.0,1397791185194.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,712.847.673,(13.766.283.499),3.0,712847673.0,-13766283499.0
Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,301.519.401.097,89.188.458.549,4.0,301519401097.0,89188458549.0
(Lãi) từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(166.686.145.750),(160.310.707.613),5.0,-166686145750.0,-160310707613.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,229.462.755.159,333.329.406.468,6.0,229462755159.0,333329406468.0
Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,16.120.000.000,7.0,,16120000000.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.294.607.251.308,2.652.857.169.720,8.0,2294607251308.0,2652857169720.0
(Tăng)/Giảm các khoản phải thu,2. Điều chỉnh cho các khoản: > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,(14.462.522.655),56.939.445.624,9.0,-14462522655.0,56939445624.0
(Tăng)/Giảm hàng tồn kho,2. Điều chỉnh cho các khoản: > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,(191.534.922.510),239.702.177.039,10.0,-191534922510.0,239702177039.0
"Tăng các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,98.219.664.674,1.811.244.296.426,11.0,98219664674.0,1811244296426.0
Giảm chi phí trả trước,2. Điều chỉnh cho các khoản: > Giảm chi phí trả trước,Giảm chi phí trả trước,12,53.073.856.155,117.655.836.239,12.0,53073856155.0,117655836239.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(238.864.572.242),(333.846.974.058),14.0,-238864572242.0,-333846974058.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(32.974.510.837),(1.217.676.969),15.0,-32974510837.0,-1217676969.0
