row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Từ ngày 15/01/2015 đến ngày 31/12/2015,MÃU SỐ B 02-DN Đơn vị: VND Từ ngày 01/01/2014 đến ngày 14/01/2015 (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Từ ngày 15/01/2015 đến ngày 31/12/2015,numeric__MÃU SỐ B 02-DN Đơn vị: VND Từ ngày 01/01/2014 đến ngày 14/01/2015 (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,25,5.658.347.926.000,6.437.813.820.630,1.0,25.0,5658347926000.0,6437813820630.0
2. Các khoản giám trừ doanh thu,2. Các khoản giám trừ doanh thu,2. Các khoản giám trừ doanh thu,02,25,87.468.200.037,73.882.279.558,2.0,25.0,87468200037.0,73882279558.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,5.570.879.725.963,6.363.931.541.072,10.0,,5570879725963.0,6363931541072.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,26,3.963.088.038.112,4.751.237.468.133,11.0,26.0,3963088038112.0,4751237468133.0
5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.607.791.687.851,1.612.694.072.939,20.0,,1607791687851.0,1612694072939.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,28,226.287.628.978,188.161.146.838,21.0,28.0,226287628978.0,188161146838.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,29,657.236.842.893,458.534.458.726,22.0,29.0,657236842893.0,458534458726.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,229.462.755.159,333.329.406.468,23.0,,229462755159.0,333329406468.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,30,273.900.764.527,190.079.488.635,25.0,30.0,273900764527.0,190079488635.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,30,196.900.416.250,160.719.549.307,26.0,30.0,196900416250.0,160719549307.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,706.041.293.159,991.521.723.109,30.0,,706041293159.0,991521723109.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,6.845.641.304,1.305.198.452,31.0,,6845641304.0,1305198452.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,4.697.656.010,2.321.810.940,32.0,,4697656010.0,2321810940.0
13. Lợi nhuận/(Lỗ) khác (40=31-32),13. Lợi nhuận/(Lỗ) khác (40=31-32),13. Lợi nhuận/(Lỗ) khác (40=31-32),40,,2.147.985.294,(1.016.612.488),40.0,,2147985294.0,-1016612488.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,708.189.278.453,990.505.110.621,50.0,,708189278453.0,990505110621.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,31,1.344.148.816,35.255.669.697,51.0,31.0,1344148816.0,35255669697.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,706.845.129.637,955.249.440.924,60.0,,706845129637.0,955249440924.0
