row_label_raw,row_label_full,Ông Nguyễn Đức Thành,Chủ tịch,numeric__Chủ tịch
Ông Bùi Minh Tiến,Ông Bùi Minh Tiến,Ông Bùi Minh Tiến,Ủy viên,
Bà Trần Thị Bình,Bà Trần Thị Bình,Bà Trần Thị Bình,Ủy viên,
Ông Trần Chí Nguyên,Ông Trần Chí Nguyên,Ông Trần Chí Nguyên,Ủy viên,
Ông Trần Mỹ,Ông Trần Mỹ,Ông Trần Mỹ,Ủy viên,
