row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phân mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phân mềm máy tính,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Tại ngày 15/01/2015,NGUYÊN GIÁ > Tại ngày 15/01/2015,Tại ngày 15/01/2015,33.175.238.300,-,13.982.184.878,47.157.423.178,33175238300.0,,13982184878.0,47157423178.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,158.417.027,25.343.485.000,6.222.854.256,31.724.756.283,158417027.0,25343485000.0,6222854256.0,31724756283.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,2.286.150.434,2.286.150.434,,,2286150434.0,2286150434.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,33.333.655.327,25.343.485.000,22.491.189.568,81.168.329.895,33333655327.0,25343485000.0,22491189568.0,81168329895.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Tại ngày 15/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 15/01/2015,Tại ngày 15/01/2015,-,-,1.101.843.106,1.101.843.106,,,1101843106.0,1101843106.0
Trích khấu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong kỳ,Trích khấu hao trong kỳ,1.851.265.406,3.322.116.196,6.427.624.146,11.601.005.748,1851265406.0,3322116196.0,6427624146.0,11601005748.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.851.265.406,3.322.116.196,7.529.467.252,12.702.848.854,1851265406.0,3322116196.0,7529467252.0,12702848854.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,31.482.389.921,22.021.368.804,14.961.722.316,68.465.481.041,31482389921.0,22021368804.0,14961722316.0,68465481041.0
Tại ngày 15/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 15/01/2015,Tại ngày 15/01/2015,33.175.238.300,-,12.880.341.772,46.055.580.072,33175238300.0,,12880341772.0,46055580072.0
