row_label_raw,row_label_full,col_0,Từ ngày 15/01/2015đến ngày 31/12/2015VND,Từ ngày 01/01/2014đến ngày 14/01/2015VND,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015VND,numeric__Từ ngày 01/01/2014đến ngày 14/01/2015VND
Chi phí bán hàng phát sinh trong kỳ,Chi phí bán hàng phát sinh trong kỳ,Chi phí bán hàng phát sinh trong kỳ,Chi phí bán hàng phát sinh trong kỳ,Chi phí bán hàng phát sinh trong kỳ,,
"Chi phí vận chuyển, bốc xếp lưu kho","Chi phí bán hàng phát sinh trong kỳ > Chi phí vận chuyển, bốc xếp lưu kho","Chi phí vận chuyển, bốc xếp lưu kho",79.480.193.743,66.899.630.136,79480193743.0,66899630136.0
Chi phí an sinh xã hội,Chi phí bán hàng phát sinh trong kỳ > Chi phí an sinh xã hội,Chi phí an sinh xã hội,75.270.924.800,41.667.287.298,75270924800.0,41667287298.0
"Chi phí quảng cáo, truyền thông","Chi phí bán hàng phát sinh trong kỳ > Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông",75.917.878.358,17.604.092.638,75917878358.0,17604092638.0
Các khoản chi phí bán hàng khác,Chi phí bán hàng phát sinh trong kỳ > Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,43.231.767.626,63.908.478.563,43231767626.0,63908478563.0
,,,273.900.764.527,190.079.488.635,273900764527.0,190079488635.0
Chi phí quản lý doanh nghiệp phát sinh trong kỳ,Chi phí quản lý doanh nghiệp phát sinh trong kỳ,Chi phí quản lý doanh nghiệp phát sinh trong kỳ,Chi phí quản lý doanh nghiệp phát sinh trong kỳ,Chi phí quản lý doanh nghiệp phát sinh trong kỳ,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,51.621.892.048,46.011.848.185,51621892048.0,46011848185.0
Phí quản lý phải nộp Tập đoàn đầu khí Việt Nam,Chi phí quản lý doanh nghiệp phát sinh trong kỳ > Phí quản lý phải nộp Tập đoàn đầu khí Việt Nam,Phí quản lý phải nộp Tập đoàn đầu khí Việt Nam,26.308.033.440,28.277.928.694,26308033440.0,28277928694.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,15.090.800.214,5.931.743.900,15090800214.0,5931743900.0
Trích Quỹ phát triển khoa học và công nghệ,Chi phí quản lý doanh nghiệp phát sinh trong kỳ > Trích Quỹ phát triển khoa học và công nghệ,Trích Quỹ phát triển khoa học và công nghệ,-,16.120.000.000,,16120000000.0
Lợi thế kinh doanh,Chi phí quản lý doanh nghiệp phát sinh trong kỳ > Lợi thế kinh doanh,Lợi thế kinh doanh,43.925.928.545,-,43925928545.0,
Các khoản chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp phát sinh trong kỳ > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,59.953.762.003,64.378.028.528,59953762003.0,64378028528.0
,,,196.900.416.250,160.719.549.307,196900416250.0,160719549307.0
