row_label_raw,row_label_full,Theo QD số 15/2006/QD-BTC > Tên chỉ tiêu,Theo QD số 15/2006/QD-BTC > Mã số,Theo QD số 15/2006/QD-BTC > Từ ngày 01/01/2014đến ngày 14/01/2015,Theo TT số 200/2014/TT-BTC > Tên chỉ tiêu,Theo TT số 200/2014/TT-BTC > Mã số,Theo TT số 200/2014/TT-BTC > Từ ngày 01/01/2014đến ngày 14/01/2015,Thay đổi,numeric__Theo QD số 15/2006/QD-BTC > Mã số,numeric__Theo QD số 15/2006/QD-BTC > Từ ngày 01/01/2014đến ngày 14/01/2015,numeric__Theo TT số 200/2014/TT-BTC > Tên chỉ tiêu,numeric__Theo TT số 200/2014/TT-BTC > Mã số,numeric__Theo TT số 200/2014/TT-BTC > Từ ngày 01/01/2014đến ngày 14/01/2015,numeric__Thay đổi
L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,
Không có chỉ tiêu tương ứngThay đổi các khoản phải trả(không bao gồm thuế thu nhậpdoanh nghiệp và lãi vay phải trả),L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH > Không có chỉ tiêu tương ứngThay đổi các khoản phải trả(không bao gồm thuế thu nhậpdoanh nghiệp và lãi vay phải trả),Không có chỉ tiêu tương ứngThay đổi các khoản phải trả(không bao gồm thuế thu nhậpdoanh nghiệp và lãi vay phải trả),11,1.743.747.187.838,"Các khoản điều chỉnh khácGiảm các khoản phải trả (Không kềlãi vay phải trả, thuế thu nhậpdoanh nghiệp phải nộp)",07,16.120.000.000,Trình bày lại,11.0,1743747187838.0,,7.0,16120000000.0,
Tiền chỉ khác cho hoạt độngkinh doanh,L LƯU CHUYỀN TIỂN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chỉ khác cho hoạt độngkinh doanh,Tiền chỉ khác cho hoạt độngkinh doanh,17,,Tiền chỉ khác cho hoạt độngkinh doanh,11,1.811.244.296.426,Trình bày lại,17.0,,,11.0,1811244296426.0,
,,,,,,17,(83.617.108.588),Trình bày lại,,,,17.0,-83617108588.0,
Trương Quỳnh AnhNgười lập biểu,Trương Quỳnh AnhNgười lập biểu,Trương Quỳnh AnhNgười lập biểu,,Đinh Như CườngKế toán trưởng,,Bùi Minh TiếnTổng Giám đốcNgày 28 tháng 3 năm 2016,Bùi Minh TiếnTổng Giám đốcNgày 28 tháng 3 năm 2016,Bùi Minh TiếnTổng Giám đốcNgày 28 tháng 3 năm 2016,,,,,,
