row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,numeric__Vốn góp của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối
,,,VND,VND,VND,VND,,,,
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,3.198.074.222.829,-,-,235.727.454.968,3198074222829.0,,,235727454968.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,921.959.846.545,-,-,-,921959846545.0,,,
Thay đổi theo Chứng thư thẩm định giá,Thay đổi theo Chứng thư thẩm định giá,Thay đổi theo Chứng thư thẩm định giá,-,1.174.570.737.523,-,-,,1174570737523.0,,
Kết chuyển tăng vốn điều lệ,Kết chuyển tăng vốn điều lệ,Kết chuyển tăng vốn điều lệ,1.173.965.930.626,(1.173.965.930.626),-,-,1173965930626.0,-1173965930626.0,,
Kết chuyển phải trả cổ phần hóa,Kết chuyển phải trả cổ phần hóa,Kết chuyển phải trả cổ phần hóa,-,(604.806.897),-,-,,-604806897.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,955.249.440.924,,,,955249440924.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,286.574.832.277,(286.574.832.277),,,286574832277.0,-286574832277.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(60.301.714.060),,,,-60301714060.0
Chuyển lợi nhuận về Công ty mẹ,Chuyển lợi nhuận về Công ty mẹ,Chuyển lợi nhuận về Công ty mẹ,-,-,-,(844.100.349.555),,,,-844100349555.0
Số dư tại ngày 14/01/2015,Số dư tại ngày 14/01/2015,Số dư tại ngày 14/01/2015,5.294.000.000.000,-,286.574.832.277,-,5294000000000.0,,286574832277.0,
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,706.845.129.637,,,,706845129637.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,-,84.821.415.556,(84.821.415.556),,,84821415556.0,-84821415556.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,(84.821.415.556),,,,-84821415556.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,5.294.000.000.000,-,371.396.247.833,537.202.298.525,5294000000000.0,,371396247833.0,537202298525.0
