row_label_raw,row_label_full,Chỉ tiêu,14/01/2015(Trình bày lại),Phát sinh trong kỳ > Số phải nộp,Phát sinh trong kỳ > Số đã nộp,31/12/2015,numeric__14/01/2015(Trình bày lại),numeric__Phát sinh trong kỳ > Số phải nộp,numeric__Phát sinh trong kỳ > Số đã nộp,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,3.058.784.585,3.058.784.585,-,,3058784585.0,3058784585.0,
Thuế nhập khẩu,Thuế nhập khẩu,Thuế nhập khẩu,-,986.850.592,986.850.592,-,,986850592.0,986850592.0,
Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),32.914.002.522,1.344.148.816,32.974.510.837,1.283.640.501,32914002522.0,1344148816.0,32974510837.0,1283640501.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,91.601.280,992.839.680,992.839.680,91.601.280,91601280.0,992839680.0,992839680.0,91601280.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,-,61.920.420,459.267.025,(397.346.605),,61920420.0,459267025.0,-397346605.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.862.142.364,16.431.885.640,14.908.315.905,4.385.712.099,2862142364.0,16431885640.0,14908315905.0,4385712099.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.862.142.364,15.790.785.034,14.396.341.455,4.256.585.943,2862142364.0,15790785034.0,14396341455.0,4256585943.0
Thuế khác,Thuế khác,Thuế khác,-,641.100.606,511.974.450,129.126.156,,641100606.0,511974450.0,129126156.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,-,91.679.798,91.679.798,-,,91679798.0,91679798.0,
"Các khoản phí, lệ phí","Các khoản phí, lệ phí","Các khoản phí, lệ phí",-,91.679.798,91.679.798,-,,91679798.0,91679798.0,
Cộng,Cộng,Cộng,35.867.746.166,22.968.109.531,53.472.248.422,5.363.607.275,35867746166.0,22968109531.0,53472248422.0,5363607275.0
Trong đó:- Thuế và các khoản phải nộp Nhà nước,Trong đó:- Thuế và các khoản phải nộp Nhà nước,Trong đó:- Thuế và các khoản phải nộp Nhà nước,35.867.746.166,,,5.760.953.880,35867746166.0,,,5760953880.0
- Thuế và các khoản khác phải thu Nhà nước,- Thuế và các khoản khác phải thu Nhà nước,- Thuế và các khoản khác phải thu Nhà nước,-,,,397.346.605,,,,397346605.0
