row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,14/01/2015(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__14/01/2015(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.414.372.139.313,5.494.116.409.151,100.0,,4414372139313.0,5494116409151.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,1.208.205.261.544,2.046.118.634.821,110.0,5.0,1208205261544.0,2046118634821.0
1. Tiền,1. Tiền,1. Tiền,111,,176.205.261.544,1.996.118.634.821,111.0,,176205261544.0,1996118634821.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.032.000.000.000,50.000.000.000,112.0,,1032000000000.0,50000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,2.702.555.555.556,3.166.281.483.374,120.0,6.0,2702555555556.0,3166281483374.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,2.702.555.555.556,3.166.281.483.374,123.0,,2702555555556.0,3166281483374.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,79.400.468.739,60.881.586.431,130.0,,79400468739.0,60881586431.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,6.819.702.460,4.219.983,131.0,7.0,6819702460.0,4219983.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,14.976.365.167,14.109.349.557,132.0,8.0,14976365167.0,14109349557.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,57.604.401.112,46.768.016.891,136.0,9.0,57604401112.0,46768016891.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,382.355.401.362,191.533.326.525,140.0,10.0,382355401362.0,191533326525.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,383.068.249.035,191.533.326.525,141.0,,383068249035.0,191533326525.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(712.847.673),-,149.0,,-712847673.0,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,41.855.452.112,29.301.378.000,150.0,,41855452112.0,29301378000.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,21.411.788.029,13.905.096.991,151.0,11.0,21411788029.0,13905096991.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,20.046.317.478,15.396.281.009,152.0,,20046317478.0,15396281009.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,17,397.346.605,-,153.0,17.0,397346605.0,
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,10.011.630.888.116,11.083.251.265.255,200.0,,10011630888116.0,11083251265255.0
I. Tài sản cố định,I. Tài sản cố định,I. Tài sản cố định,220,,9.796.509.476.321,10.852.703.658.659,220.0,,9796509476321.0,10852703658659.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,9.728.043.995.280,10.806.648.078.587,221.0,12.0,9728043995280.0,10806648078587.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,13.602.048.665.814,13.472.708.037.454,222.0,,13602048665814.0,13472708037454.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(3.874.004.670.534),(2.666.059.958.867),223.0,,-3874004670534.0,-2666059958867.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,68.465.481.041,46.055.580.072,227.0,13.0,68465481041.0,46055580072.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,81.168.329.895,47.157.423.178,228.0,,81168329895.0,47157423178.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(12.702.848.854),(1.101.843.106),229.0,,-12702848854.0,-1101843106.0
II. Tài sản dở dang dài hạn,II. Tài sản dở dang dài hạn,II. Tài sản dở dang dài hạn,240,14,95.437.715.195,46.827.865.034,240.0,14.0,95437715195.0,46827865034.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,95.437.715.195,46.827.865.034,242.0,,95437715195.0,46827865034.0
III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,250,6,16.661.000.000,20.116.497.769,250.0,6.0,16661000000.0,20116497769.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,16.661.000.000,20.116.497.769,251.0,,16661000000.0,20116497769.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,103.022.696.600,163.603.243.793,260.0,,103022696600.0,163603243793.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,103.022.696.600,163.603.243.793,261.0,11.0,103022696600.0,163603243793.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,14.426.003.027.429,16.577.367.674.406,270.0,,14426003027429.0,16577367674406.0
