row_label_raw,row_label_full,col_0,Nhà cửavà vật kiến trúc,Máy mócvà thiết bị,Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửavà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 15/01/2015,NGUYÊN GIÁ > Tại ngày 15/01/2015,Tại ngày 15/01/2015,3.116.305.267.653,10.219.864.467.956,39.716.461.749,38.133.248.852,58.688.591.244,13.472.708.037.454,3116305267653.0,10219864467956.0,39716461749.0,38133248852.0,58688591244.0,13472708037454.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,54.962.481.712,4.391.386.356,-,(156.459.655),-,59.197.408.413,54962481712.0,4391386356.0,,-156459655.0,,59197408413.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,35.453.678.928,13.314.454.436,8.527.787.500,14.970.044.341,-,72.265.965.205,35453678928.0,13314454436.0,8527787500.0,14970044341.0,,72265965205.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(2.122.745.258),-,(2.122.745.258),,,,-2122745258.0,,-2122745258.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.206.721.428.293,10.237.570.308.748,48.244.249.249,50.824.088.280,58.688.591.244,13.602.048.665.814,3206721428293.0,10237570308748.0,48244249249.0,50824088280.0,58688591244.0,13602048665814.0
GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,GIÁ TRỊ HAO MÒN LỦY KÊ,,,,,,
Tại ngày 15/01/2015,GIÁ TRỊ HAO MÒN LỦY KÊ > Tại ngày 15/01/2015,Tại ngày 15/01/2015,766.799.437.349,1.854.091.104.002,15.930.934.951,14.051.833.488,15.186.649.077,2.666.059.958.867,766799437349.0,1854091104002.0,15930934951.0,14051833488.0,15186649077.0,2666059958867.0
Trích khấu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KÊ > Trích khấu hao trong kỳ,Trích khấu hao trong kỳ,277.888.443.398,913.320.588.017,8.359.769.747,9.926.544.719,572.111.044,1.210.067.456.925,277888443398.0,913320588017.0,8359769747.0,9926544719.0,572111044.0,1210067456925.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KÊ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(2.122.745.258),-,(2.122.745.258),,,,-2122745258.0,,-2122745258.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KÊ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.044.687.880.747,2.767.411.692.019,24.290.704.698,21.855.632.949,15.758.760.121,3.874.004.670.534,1044687880747.0,2767411692019.0,24290704698.0,21855632949.0,15758760121.0,3874004670534.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.162.033.547.546,7.470.158.616.729,23.953.544.551,28.968.455.331,42.929.831.123,9.728.043.995.280,2162033547546.0,7470158616729.0,23953544551.0,28968455331.0,42929831123.0,9728043995280.0
Tại ngày 15/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 15/01/2015,Tại ngày 15/01/2015,2.349.505.830.304,8.365.773.363.954,23.785.526.798,24.081.415.364,43.501.942.167,10.806.648.078.587,2349505830304.0,8365773363954.0,23785526798.0,24081415364.0,43501942167.0,10806648078587.0
