row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2015VND,Giá trị ghi sổ > 14/01/2015VND,numeric__Giá trị ghi sổ > 31/12/2015VND,numeric__Giá trị ghi sổ > 14/01/2015VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.208.205.261.544,2.046.118.634.821,1208205261544.0,2046118634821.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,2.702.555.555.556,3.166.281.483.374,2702555555556.0,3166281483374.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,64.424.103.572,46.772.236.874,64424103572.0,46772236874.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.975.184.920.672,5.259.172.355.069,3975184920672.0,5259172355069.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ thuê tài chính,Công nợ tài chính > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,7.041.528.852.672,7.904.621.580.478,7041528852672.0,7904621580478.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,549.608.851.352,2.453.536.731.196,549608851352.0,2453536731196.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,342.406.784.754,320.029.887.903,342406784754.0,320029887903.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,7.933.544.488.778,10.678.188.199.577,7933544488778.0,10678188199577.0
