row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc,31/12/2015 > Giá trị ghi số,31/12/2015,14/01/2015 > Giá gốc,14/01/2015 > Giá trị ghi số,14/01/2015,numeric__31/12/2015 > Giá gốc,numeric__31/12/2015 > Giá trị ghi số,numeric__31/12/2015,numeric__14/01/2015 > Giá gốc,numeric__14/01/2015 > Giá trị ghi số,numeric__14/01/2015
,,,VND,VND,,VND,VND,,,,,,,
Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,,,,,,,,,,,,
Tiền gửi có kỳ hạn trên 3 tháng,Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn > Tiền gửi có kỳ hạn trên 3 tháng,Tiền gửi có kỳ hạn trên 3 tháng,2.702.555.555.556,2.702.555.555.556,,3.166.281.483.374,3.166.281.483.374,,2702555555556.0,2702555555556.0,,3166281483374.0,3166281483374.0,
,,,31/12/2015,31/12/2015,31/12/2015,14/01/2015,14/01/2015,14/01/2015,,,,,,
,,,Giá gốc,Dự phòng,Giá trị hợp lý,Giá gốc,Dự phòng,Giá trị hợp lý,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,,,,,,,
Công ty Cổ phần Bao bì Dầu khí Việt Nam,Đầu tư vào công ty con > Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,16.661.000.000,-,26.490.990.000,20.116.497.769,-,35.654.540.000,16661000000.0,,26490990000.0,20116497769.0,,35654540000.0
,,,Từ ngày 01/01/2015 đến ngày 31/12/2015,Từ ngày 01/01/2015 đến ngày 31/12/2015,Từ ngày 01/01/2015 đến ngày 31/12/2015,Từ ngày 01/01/2014 đến ngày 31/12/2014,Từ ngày 01/01/2014 đến ngày 31/12/2014,Từ ngày 01/01/2014 đến ngày 31/12/2014,,,,,,
,,,Doanh thu,Chi phí,Lợi nhuận sau thuế,Doanh thu,Chi phí,Lợi nhuận sau thuế,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Tỉnh hình hoạt động của Công ty con trong kỳ,Đầu tư vào công ty con > Tỉnh hình hoạt động của Công ty con trong kỳ,Tỉnh hình hoạt động của Công ty con trong kỳ,144.476.510.268,134.566.529.895,8.947.250.575,157.007.571.618,145.900.688.980,10.240.333.268,144476510268.0,134566529895.0,8947250575.0,157007571618.0,145900688980.0,10240333268.0
Tỉnh hình hoạt động của Công ty con trong kỳ,Tỉnh hình hoạt động của Công ty con trong kỳ,Tỉnh hình hoạt động của Công ty con trong kỳ,Bán hàng,Mua hàng hóa,Cổ tức và lợi nhuận được chia,Bán hàng,Mua hàng hóa,Cổ tức và lợi nhuận được chia,,,,,,
Tỉnh hình hoạt động của Công ty con trong kỳ,Tỉnh hình hoạt động của Công ty con trong kỳ,Tỉnh hình hoạt động của Công ty con trong kỳ,VND,VND,VND,VND,VND,VND,,,,,,
Các giao dịch trọng yếu giữa Công ty và công ty con trong kỳ,Tỉnh hình hoạt động của Công ty con trong kỳ > Các giao dịch trọng yếu giữa Công ty và công ty con trong kỳ,Các giao dịch trọng yếu giữa Công ty và công ty con trong kỳ,-,133.116.824.210,3.332.200.000,-,153.101.655.300,-,,133116824210.0,3332200000.0,,153101655300.0,
