row_label_raw,row_label_full,NGUỐN VỐN,Mã số,Thuyết minh,31/12/2015,14/01/2015(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__14/01/2015(Trình bày lại)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,8.223.404.481.071,10.996.792.842.129,300.0,,8223404481071.0,10996792842129.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,2.424.393.974.267,4.264.839.603.437,310.0,,2424393974267.0,4264839603437.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,15,312.481.162.568,290.246.664.307,311.0,15.0,312481162568.0,290246664307.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,16,153.444.525.172,102.928.923.892,312.0,16.0,153444525172.0,102928923892.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,17,5.760.953.880,35.867.746.166,313.0,17.0,5760953880.0,35867746166.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,66.041.315.539,83.178.161.272,314.0,,66041315539.0,83178161272.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,18,342.406.784.754,320.029.887.903,315.0,18.0,342406784754.0,320029887903.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,19,-,53.261.535.084,318.0,19.0,,53261535084.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,20,205.744.886.720,2.131.936.573.613,319.0,20.0,205744886720.0,2131936573613.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,21,1.310.820.808.870,1.244.783.019.739,320.0,21.0,1310820808870.0,1244783019739.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,,27.693.536.764,2.607.091.461,322.0,,27693536764.0,2607091461.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,5.799.010.506.804,6.731.953.238.692,330.0,,5799010506804.0,6731953238692.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,20,33.175.238.300,33.175.238.300,337.0,20.0,33175238300.0,33175238300.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,21,5.730.708.043.802,6.659.838.560.739,338.0,21.0,5730708043802.0,6659838560739.0
3. Quỹ phát triển khoa học và công nghệ,3. Quỹ phát triển khoa học và công nghệ,3. Quỹ phát triển khoa học và công nghệ,343,,35.127.224.702,38.939.439.653,343.0,,35127224702.0,38939439653.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,6.202.598.546.358,5.580.574.832.277,400.0,,6202598546358.0,5580574832277.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,,6.202.598.546.358,5.580.574.832.277,410.0,,6202598546358.0,5580574832277.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,22,5.294.000.000.000,5.294.000.000.000,411.0,22.0,5294000000000.0,5294000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.294.000.000.000,5.294.000.000.000,,,5294000000000.0,5294000000000.0
2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,22,371.396.247.833,286.574.832.277,418.0,22.0,371396247833.0,286574832277.0
3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,421,22,537.202.298.525,-,421.0,22.0,537202298525.0,
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,421a,,-,-,,,,
- Lợi nhuận sau thuế chưa phân phối kỳ này,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước > - Lợi nhuận sau thuế chưa phân phối kỳ này,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,537.202.298.525,-,,,537202298525.0,
