row_label_raw,row_label_full,Năm trước,Nội địa,Nước ngoài,Tổng công,numeric__Nội địa,numeric__Nước ngoài,numeric__Tổng công
,,,VND,VND,VND,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.948.170.956.870,740.265.992.041,6.688.436.948.911,5948170956870.0,740265992041.0,6688436948911.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(4.909.538.276.290),(372.264.129.014),(5.281.802.405.304),-4909538276290.0,-372264129014.0,-5281802405304.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,1.038.632.680.580,368.001.863.027,1.406.634.543.607,1038632680580.0,368001863027.0,1406634543607.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(638.552.871.069),,,-638552871069.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,176.146.051.932,,,176146051932.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(256.850.892.352),,,-256850892352.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,14.253.913.513,,,14253913513.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(4.752.795.164),,,-4752795164.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,696.877.950.467,,,696877950467.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(44.647.599.359),,,-44647599359.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,(1.829.065.760),,,-1829065760.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,650.401.285.348,,,650401285348.0
