row_label_raw,row_label_full,Năm nay,Nội địa > VND,Nước ngoài > VND,Tổng cộng > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng cộng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.779.872.123.584,1.252.180.392.192,7.032.052.515.776,5779872123584.0,1252180392192.0,7032052515776.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(4.957.062.253.904),(1.140.487.133.832),(6.097.549.387.736),-4957062253904.0,-1140487133832.0,-6097549387736.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,822.809.869.680,111.693.258.360,934.503.128.040,822809869680.0,111693258360.0,934503128040.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(547.038.956.303),,,-547038956303.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,128.629.786.142,,,128629786142.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(100.731.194.779),,,-100731194779.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,48.480.136.648,,,48480136648.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(3.472.166.901),,,-3472166901.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,460.370.732.847,,,460370732847.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(39.829.588.814),,,-39829588814.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,5.282.435.028,,,5282435028.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,425.823.579.061,,,425823579061.0
