row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,148.918.990,44.063.266,-,104.855.724,148918990.0,44063266.0,,104855724.0
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,397.346.605,-,-,397.346.605,397346605.0,,,397346605.0
Thuế nhập khẩu,a. Các khoản phải thu > Thuế nhập khẩu,Thuế nhập khẩu,-,9.922.123.999,9.988.931.774,66.807.775,,9922123999.0,9988931774.0,66807775.0
,,,546.265.595,9.966.187.265,9.988.931.774,569.010.104,546265595.0,9966187265.0,9988931774.0,569010104.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng,b. Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,4.860.986.767,4.860.986.767,-,,4860986767.0,4860986767.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,27.597.120.572,39.829.588.814,51.426.377.001,16.000.332.385,27597120572.0,39829588814.0,51426377001.0,16000332385.0
Thuế tài nguyên,b. Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,202.345.130,2.517.048.472,2.490.390.402,229.003.200,202345130.0,2517048472.0,2490390402.0,229003200.0
Tiền thuê đất,b. Các khoản phải nộp > Tiền thuê đất,Tiền thuê đất,-,80.190.225,80.190.225,-,,80190225.0,80190225.0,
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.067.388.398,19.095.893.473,19.856.600.937,4.306.680.934,5067388398.0,19095893473.0,19856600937.0,4306680934.0
Thuế khác,b. Các khoản phải nộp > Thuế khác,Thuế khác,294.440.567,10.803.424.337,10.937.156.145,160.708.759,294440567.0,10803424337.0,10937156145.0,160708759.0
,,,33.161.294.667,77.187.132.088,89.651.701.477,20.696.725.278,33161294667.0,77187132088.0,89651701477.0,20696725278.0
