row_label_raw,row_label_full,col_0,Quyênsử dụng đất,"Bản quyền,bằng sáng chế",Phân mềmmáy tính,Tổng,numeric__Quyênsử dụng đất,"numeric__Bản quyền,bằng sáng chế",numeric__Phân mềmmáy tính,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,22.194.885.567,32.483.466.173,50.831.252.277,105.509.604.017,22194885567.0,32483466173.0,50831252277.0,105509604017.0
Đầu tư xây dựng cơbàn hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơbàn hoàn thành,Đầu tư xây dựng cơbàn hoàn thành,-,-,23.566.060.484,23.566.060.484,,,23566060484.0,23566060484.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,(18.403.466.173),18.403.466.173,-,,-18403466173.0,18403466173.0,
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,22.194.885.567,14.080.000.000,92.800.778.934,129.075.664.501,22194885567.0,14080000000.0,92800778934.0,129075664501.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.000.593.896,25.909.077.166,35.968.705.746,66.878.376.808,5000593896.0,25909077166.0,35968705746.0,66878376808.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.286.648.162,-,7.783.073.281,9.069.721.443,1286648162.0,,7783073281.0,9069721443.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,(11.829.077.166),11.829.077.166,-,,-11829077166.0,11829077166.0,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,6.287.242.058,14.080.000.000,55.580.856.193,75.948.098.251,6287242058.0,14080000000.0,55580856193.0,75948098251.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,17.194.291.671,6.574.389.007,14.862.546.531,38.631.227.209,17194291671.0,6574389007.0,14862546531.0,38631227209.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,15.907.643.509,-,37.219.922.741,53.127.566.250,15907643509.0,,37219922741.0,53127566250.0
