row_label_raw,row_label_full,col_0,Năm nay(Số năm),numeric__Năm nay(Số năm)
Quyền sử dụng đất,Quyền sử dụng đất,Quyền sử dụng đất,20 - 50,
"Bàn quyền, bằng sáng chế","Quyền sử dụng đất > Bàn quyền, bằng sáng chế","Bàn quyền, bằng sáng chế",3,3.0
Phân mềm máy tính,Quyền sử dụng đất > Phân mềm máy tính,Phân mềm máy tính,3,3.0
