row_label_raw,row_label_full,col_0,Nhà xuốngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải và thiếtbji truyền đản,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xuốngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải và thiếtbji truyền đản,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.348.441.658.877,10.393.344.620.871,72.677.801.740,60.359.236.722,59.369.973.815,13.934.193.292.025,3348441658877.0,10393344620871.0,72677801740.0,60359236722.0,59369973815.0,13934193292025.0
Mua sắm mới trong năm,NGUYÊN GIÁ > Mua sắm mới trong năm,Mua sắm mới trong năm,802.683.641,8.901.865.970,2.307.642.614,-,-,12.012.192.225,802683641.0,8901865970.0,2307642614.0,,,12012192225.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,113.497.663.653,23.680.125.605,-,-,-,137.177.789.258,113497663653.0,23680125605.0,,,,137177789258.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.462.742.006.171,10.425.926.612.446,74.985.444.354,60.359.236.722,59.369.973.815,14.083.383.273.508,3462742006171.0,10425926612446.0,74985444354.0,60359236722.0,59369973815.0,14083383273508.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.934.615.695.067,5.660.565.847.819,46.465.094.662,46.211.448.071,17.573.968.979,7.705.432.054.598,1934615695067.0,5660565847819.0,46465094662.0,46211448071.0,17573968979.0,7705432054598.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,300.810.305.344,990.971.143.714,5.983.098.593,3.829.358.742,696.499.150,1.302.290.405.543,300810305344.0,990971143714.0,5983098593.0,3829358742.0,696499150.0,1302290405543.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.235.426.000.411,6.651.536.991.533,52.448.193.255,50.040.806.813,18.270.468.129,9.007.722.460.141,2235426000411.0,6651536991533.0,52448193255.0,50040806813.0,18270468129.0,9007722460141.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.413.825.963.810,4.732.778.773.052,26.212.707.078,14.147.788.651,41.796.004.836,6.228.761.237.427,1413825963810.0,4732778773052.0,26212707078.0,14147788651.0,41796004836.0,6228761237427.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.227.316.005.760,3.774.389.620.913,22.537.251.099,10.318.429.909,41.099.505.686,5.075.660.813.367,1227316005760.0,3774389620913.0,22537251099.0,10318429909.0,41099505686.0,5075660813367.0
