row_label_raw,row_label_full,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Số cuối nămVND > 2.037.253.600,Số đầu nămVND > 3.698.943.200,numeric__Số cuối nămVND > 2.037.253.600,numeric__Số đầu nămVND > 3.698.943.200
Công ty TNHH MTV Tường Dung An Giang,Công ty TNHH MTV Tường Dung An Giang,Công ty TNHH MTV Tường Dung An Giang,-,8.033.321.750,,8033321750.0
Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,-,5.867.139.482,,5867139482.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,131.617.400,-,131617400.0,
,,,2.168.871.000,17.599.404.432,2168871000.0,17599404432.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khách hàng là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),Trong đó: > Phải thu khách hàng là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),Phải thu khách hàng là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),2.060.283.600,3.698.943.200,2060283600.0,3698943200.0
